,gdp_real,gdp_nominal,unemployment_rate,cpi_all_items,cpi_annual_growth,interest_rate_short_term,interest_rate_long_term,industrial_production_index,exports_volume,imports_volume,trade_balance,household_consumption,capital_formation,employment_level,money_supply_broad,exchange_rate_usd,stock_market_index,government_spending,population_total,population_working_age
2000-01-01,378669.0,378669.0,6.866667,2.65358,2.71943995691976,4.7665,6.4915,18891444444.4444,36.8558047744882,32.2436057963648,2.03,189204500000.0,79528250000.0,18.27,216688000000.0,1.4482259902,58.96162,318113000000.0,30685730.0,20397500.0
2000-02-01,,,,,,4.966190476190481,6.338571428571429,,,,,,,,221673000000.0,1.4503407322381,64.06229,,,20419500.0
2000-03-01,,,,,,5.0804347826087,6.02826086956522,,,,,,,,225082000000.0,1.46035444669565,66.82956,,,20440100.0
2000-04-01,383125.8,383125.8,6.666667,2.445164,,5.25526315789474,5.924210526315791,19263083333.333298,37.358710916751,32.6354679802956,2.2,190842750000.0,80404750000.0,18.3233333333333,228485000000.0,1.4683048305000002,63.71625,321619000000.0,,20461200.0
2000-05-01,,,,,,5.48181818181818,6.215,,,,,,,,228101000000.0,1.49478053527273,64.83278,,,20488700.0
2000-06-01,,,,,,5.74772727272727,5.895454545454551,,,,,,,,230062000000.0,1.47670108727273,69.41068,,,20511100.0
2000-07-01,387053.0,387053.0,6.9,2.714286,,5.733,5.8635,19696388888.8889,37.0477317948096,31.9238559131656,2.7,193285750000.0,80780750000.0,18.2966666666667,231897000000.0,1.47802067609524,73.68075999999996,323123000000.0,,20532000.0
2000-08-01,,,,,,5.74636363636364,5.76636363636364,,,,,,,,232699000000.0,1.48226044134783,76.22491999999998,,,20556700.0
2000-09-01,,,,,,5.7525,5.7295,,,,,,,,235280000000.0,1.48519488555,75.42291999999999,,,20578300.0
2000-10-01,387818.5,387818.5,6.9,3.060498,,5.75904761904762,5.723333333333329,19791250000.0,38.1422215945202,32.3052044347151,3.05,193721500000.0,81273750000.0,18.27,237172000000.0,1.5119647496363602,70.73071,325095000000.0,,20600100.0
2000-11-01,,,,,,5.7476190476190485,5.72714285714286,,,,,,,,238162000000.0,1.54268092757143,64.1326,,,20621600.0
2000-12-01,,,,,,5.75,5.40210526315789,,,,,,,,241495000000.0,1.5224434587,62.87749,,,20642600.0
2001-01-01,390001.5,390001.5,7.0,2.76204,2.52512013979906,5.66363636363636,5.41863636363636,19108472222.2222,37.6486446060783,30.57565543462,3.64,195233750000.0,82314750000.0,18.2366666666667,241236000000.0,1.50279914645455,62.43716,329259000000.0,31020855.0,20659700.0
2001-02-01,,,,,,5.4925,5.43,,,,,,,,244021000000.0,1.5230977313499998,60.573440000000005,,,20681000.0
2001-03-01,,,,,,5.0619,5.30136363636364,,,,,,,,246074000000.0,1.55839912240909,54.83681,,,20704700.0
2001-04-01,391228.0,391228.0,7.1,3.580204,,4.86528,5.5915,18879444444.4444,36.1893378207241,30.7064517807886,2.46,195586250000.0,83349000000.0,18.4966666666667,247510000000.0,1.55817782915,54.41182,333396000000.0,,20735700.0
2001-05-01,,,,,,4.707777272727268,5.85136363636364,,,,,,,,251786000000.0,1.5410299199130402,56.811069999999994,,,20761000.0
2001-06-01,,,,,,4.492319047619048,5.71809523809524,,,,,,,,250389000000.0,1.5244648591428602,55.11724,,,20786800.0
2001-07-01,390953.0,390953.0,7.166667,2.7121,,4.36030952380952,5.80047619047619,18477444444.4444,33.8856203525804,29.6479464420568,1.35,196123500000.0,83588250000.0,18.3533333333333,252626000000.0,1.5293708298636397,53.38261,334353000000.0,,20815400.0
2001-08-01,,,,,,4.19521818181818,5.530909090909089,,,,,,,,253387000000.0,1.53889624056522,53.01906,,,20838000.0
2001-09-01,,,,,,3.72707894736842,5.30263157894737,,,,,,,,259557000000.00003,1.56669978435,48.65707,,,20859700.0
2001-10-01,393297.8,393297.8,7.633333,1.070442,,3.2525409090909094,5.232727272727272,18216638888.8889,33.4606857038283,28.9649335200918,1.05,198551500000.0,83701500000.0,18.4566666666667,260571000000.00003,1.57079018217391,48.25837,334806000000.0,,20880700.0
2001-11-01,,,,,,2.645,5.177142857142861,,,,,,,,265155000000.0,1.59011189368182,50.80525,,,20901300.0
2001-12-01,,,,,,2.2413052631578902,5.40842105263158,,,,,,,,269505000000.0,1.577009054,52.62984,,,20920500.0
2002-01-01,399048.5,399048.5,7.933333,1.550655,2.25839440940855,2.0945772727272702,5.34363636363636,18914916666.666702,33.3842090727059,29.0474349237036,2.37,201565500000.0,84283500000.0,18.4666666666667,271787000000.0,1.59912731042857,53.4778,337134000000.0,31359199.0,20947300.0
2002-02-01,,,,,,1.995595,5.321000000000001,,,,,,,,272881000000.0,1.5962820821,52.56352,,,20969000.0
2002-03-01,,,,,,1.993885,5.667000000000001,,,,,,,,274278000000.00003,1.5861408127619,54.83158,,,20993400.0
