,cpi_all_items,industrial_production_index,stock_market_index,population_total,population_working_age,unemployment_rate,interest_rate_short_term,interest_rate_long_term,interest_rate_10y,interest_rate_2y,interest_rate_5y,interest_rate_3m,yield_curve_spread,corporate_bond_baa,corporate_bond_aaa,ted_spread,consumer_sentiment,capacity_utilization,gdp_real,gdp_nominal,household_consumption,capital_formation,government_spending,exports_volume,imports_volume,employment_level,building_permits,housing_starts,trade_balance,money_supply_broad,country
1980-03-31,80.1,51.7454,102.08999633789062,227225000.0,142647800.0,6.3,15.065274725274726,11.986666666666666,11.986666666666666,13.266666666666666,12.27,13.353333333333332,-1.2779032258064518,13.48,12.143333333333333,,63.46666666666667,83.89406666666666,7341.557,2789.842,1702.302,554.562,568.781,268.508,304.311,99713.0,988.0,1047.0,,1499.8,usa
1980-06-30,82.5,48.8383,114.23999786376953,227225000.0,143569800.0,7.333333333333333,12.6689010989011,10.476666666666668,10.476666666666668,10.226666666666668,10.333333333333334,9.616666666666667,0.250952380952381,13.356666666666667,11.203333333333331,,54.366666666666674,79.89923333333333,7190.289,2797.352,1704.723,519.294,588.547,277.389,292.6,98682.0,1118.0,1196.0,,1529.2,usa
1980-09-30,83.9,49.4578,125.45999908447266,227225000.0,143999700.0,7.666666666666667,9.823152173913044,10.953333333333331,10.953333333333331,10.376666666666669,10.663333333333332,9.153333333333334,0.58546875,13.166666666666666,11.576666666666668,,67.76666666666667,78.16456666666666,7181.743,2856.483,1763.771,495.071,592.169,284.673,279.202,99077.0,1484.0,1471.0,,1574.0,usa
1980-12-31,86.4,51.257,135.75999450683594,227225000.0,144227100.0,7.399999999999999,15.852826086956522,12.423333333333332,12.423333333333332,13.226666666666668,12.646666666666668,13.613333333333337,-0.7972131147540984,14.670000000000002,12.83,,72.06666666666666,80.7126,7315.677,2985.557,1831.874,551.472,608.893,292.517,299.2,99634.0,1249.0,1482.0,,1599.8,usa
1981-03-31,88.6,50.9806,136.0,229466000.0,144580000.0,7.433333333333334,16.595555555555556,12.96,12.96,13.583333333333334,13.196666666666667,14.39,-0.6159016393442623,15.246666666666664,13.163333333333334,,68.26666666666667,80.3913,7459.022,3124.206,1885.734,619.381,633.35,305.467,319.726,100571.0,1183.0,1306.0,,1636.6,usa
1981-06-30,90.5,51.3214,131.2100067138672,229466000.0,145409100.0,7.399999999999999,17.786923076923078,13.75,13.75,14.706666666666669,14.19,14.906666666666666,-0.9492063492063492,15.77,13.983333333333334,,73.93333333333334,80.0991,7403.745,3162.532,1917.524,609.843,648.673,308.455,321.963,100298.0,976.0,1045.0,,1670.3,usa
1981-09-30,93.1,51.3429,116.18000030517578,229466000.0,145577300.0,7.399999999999999,17.594347826086956,14.846666666666666,14.846666666666666,16.03,15.426666666666668,15.053333333333333,-1.183125,16.47666666666667,14.920000000000002,,74.8,80.27806666666667,7492.405,3260.609,1958.099,652.297,657.774,302.339,309.9,100064.0,847.0,911.0,,1706.0,usa
1981-12-31,94.1,49.8086,122.55000305175781,229466000.0,146181000.0,8.233333333333334,13.588369565217391,14.086666666666668,14.086666666666668,13.903333333333334,14.13,11.75,0.1714754098360656,16.683333333333334,14.616666666666667,,65.7,77.91836666666667,7410.768,3280.818,1974.447,643.395,677.727,304.695,319.445,99645.0,796.0,910.0,,1755.5,usa
1982-03-31,94.7,49.4477,111.95999908447266,231664000.0,146259300.0,8.833333333333334,14.207444444444445,14.293333333333331,14.293333333333331,14.526666666666666,14.39,12.813333333333333,-0.2344262295081967,17.033333333333335,15.01,,66.5,75.8154,7295.631,3274.302,2014.155,588.318,688.104,293.202,309.478,99672.0,891.0,931.0,,1786.5,usa
1982-06-30,97.0,48.5415,109.61000061035156,231664000.0,146949200.0,9.433333333333334,14.514175824175824,13.93,13.93,14.15,14.06,12.42,-0.2171428571428571,16.78,14.51,,66.23333333333333,74.44293333333333,7328.912,3331.972,2039.645,593.621,703.093,294.729,299.115,99543.0,913.0,902.0,,1826.0,usa
1982-09-30,97.7,47.8139,120.41999816894531,231664000.0,147328600.0,9.9,11.012717391304347,13.116666666666667,13.116666666666667,12.633333333333333,13.106666666666667,9.316666666666666,0.48265625,16.25,13.753333333333332,,66.7,73.04083333333334,7300.896,3366.322,2085.671,592.954,717.344,279.634,309.282,99504.0,1042.0,1144.0,,1858.4,usa
1982-12-31,97.7,46.8713,140.63999938964844,231664000.0,147830700.0,10.666666666666666,9.28391304347826,10.666666666666666,10.666666666666666,9.883333333333333,10.466666666666669,7.906666666666667,0.7873770491803279,14.39,11.876666666666663,,72.46666666666667,71.441,7303.817,3402.561,2145.554,549.242,737.351,265.274,294.861,99032.0,1351.0,1303.0,,1905.9,usa
1983-03-31,98.1,47.8426,152.9600067138672,233792000.0,147766500.0,10.366666666666667,8.657555555555556,10.563333333333334,10.563333333333334,9.543333333333337,10.123333333333331,8.106666666666667,1.0152380952380953,13.833333333333334,11.843333333333334,,75.26666666666667,72.10843333333334,7400.066,3473.413,2184.589,565.52,747.852,270.703,295.251,99179.0,1475.0,1606.0,,2015.2,usa
1983-06-30,99.4,49.0434,167.63999938964844,233792000.0,148196000.0,10.133333333333333,8.802747252747253,10.543333333333337,10.543333333333337,9.746666666666668,10.226666666666668,8.396666666666667,0.793968253968254,13.25,11.57,,91.53333333333336,73.64943333333333,7568.456,3578.848,2249.438,613.783,761.061,272.514,317.949,100633.0,1769.0,1733.0,,2053.5,usa
1983-09-30,100.4,51.0937,166.07000732421875,233792000.0,148711600.0,9.366666666666667,9.458152173913044,11.626666666666669,11.626666666666669,10.85,11.423333333333334,9.14,0.7784375,13.526666666666666,12.343333333333334,,91.2,76.08516666666667,7719.746,3689.179,2319.895,652.269,782.216,278.181,343.381,102016.0,1585.0,1710.0,,2083.2,usa
