,gdp_real,gdp_nominal,unemployment_rate,cpi_all_items,cpi_annual_growth,interest_rate_short_term,interest_rate_long_term,industrial_production_index,exports_volume,imports_volume,trade_balance,household_consumption,capital_formation,employment_level,money_supply_broad,exchange_rate_usd,stock_market_index,government_spending,population_total,population_working_age
2000-01-01,595801.62895938,529375.0,8.039719999999999,1.548233,1.4402683871974,3.0429,5.53952380952381,79.15593,26.4271544191772,23.8345145374819,-1.42,359976800000.0,120444170000.0,36107510.0,,0.98659965515,86.16581999999998,111969.461169699,82211508.0,24.2477248722868
2000-02-01,,,,,,3.2757,5.508571428571429,80.89561999999998,,,,,,,,1.01583126038095,95.00121,,,
2000-03-01,,,,,,3.5104,5.33304347826087,80.79896999999998,,,,,,,,1.03626881430435,99.83437,,,
2000-04-01,600554.553517019,533170.0,7.8401770000000015,1.105409,,3.685,5.22555555555556,81.95876,27.6302145044029,24.6093327898843,-1.3,363262790000.0,119833370000.0,36162290.0,,1.057506551,92.57018,111407.360767771,,
2000-05-01,,,,,,3.92,5.37818181818182,83.89175,,,,,,,,1.1019083055909098,90.46495,,,
2000-06-01,,,,,,4.2945,5.19136363636364,81.47552,,,,,,,,1.05298371918182,90.39555,,,
2000-07-01,600993.281363363,534089.0,7.717428999999998,1.376327,,4.3086,5.266190476190481,83.50516,28.2435021399487,25.7471475231253,-2.29,362541480000.0,119565230000.0,36264280.0,,1.06541093333333,89.34293000000001,111021.937914454,,
2000-08-01,,,,,,4.4191,5.210434782608701,83.9884,,,,,,,,1.10593816330435,88.97086,,,
2000-09-01,,,,,,4.5905,5.263333333333329,84.08504999999998,,,,,,,,1.1483974475714298,87.19337,,,
2000-10-01,598434.03841842,533250.0,7.601122,1.730921,,4.7627,5.20714285714286,83.7951,30.2154772674795,27.5636211536787,-2.07,359936700000.0,120190920000.0,36407920.0,,1.171642344,82.56457,111873.107544658,,
2000-11-01,,,,,,4.8291,5.15363636363636,84.1817,,,,,,,,1.16781840709524,81.7915,,,
2000-12-01,,,,,,4.8268,4.890526315789471,84.56829999999998,,,,,,,,1.11084724065,76.86001999999996,,,
2001-01-01,611139.006905388,547492.0,7.680814999999998,1.7200939999999996,1.98385731334472,4.7559,4.80318181818182,84.27835,29.3008334179365,25.630767242891,-1.18,367290330000.0,120742130000.0,36357860.0,,1.06510992013636,77.22632,112061.796927931,82349925.0,24.9108166139553
