,gdp_nominal,cpi_all_items,interest_rate_short_term,industrial_production_index,exports_volume,imports_volume,population_total,country
1980-03-31,564947710899.373,28.628486666666664,,67.79006333333332,18.9924480571641,21.2601079151026,56314216.0,uk
1980-06-30,,30.293333333333333,,65.19220666666666,18.1998284680987,19.9506713482317,,uk
1980-09-30,,30.941626666666664,,62.840090000000004,17.8030960868976,17.8923952125501,,uk
1980-12-31,,31.517036666666666,,61.47094666666666,17.0291699977777,16.7462962240464,,uk
1981-03-31,540765675241.158,32.26507,,61.43583999999999,16.9187455057473,15.6884375297082,56333829.0,uk
1981-06-30,,33.83785,,61.68158666666667,16.9597122765048,16.3626806772802,,uk
1981-09-30,,34.42477,,62.62945333333334,17.5897979183064,19.1661268867081,,uk
1981-12-31,,35.268699999999995,,63.366683333333334,17.6885624955665,18.9019401232345,,uk
1982-03-31,515048916841.37,35.85561666666667,,62.76987666666667,17.2324213390278,18.1219958399086,56313641.0,uk
1982-06-30,,37.00259333333333,,63.89327666666666,17.3800714315945,18.3660438606765,,uk
1982-09-30,,37.17138,,63.92838333333333,17.3260372888892,17.7467903747113,,uk
1982-12-31,,37.44374666666667,,63.29647333333333,17.1718174633802,17.2728259147846,,uk
1983-03-31,489618008185.539,37.63554333333333,,64.63050666666668,17.1069935382548,18.5879995781564,56332848.0,uk
1983-06-30,,38.40275666666667,,65.29752666666667,16.9357915556242,18.5792287968466,,uk
1983-09-30,,38.89761000000001,,66.14007,17.4356601534388,18.6548588540926,,uk
1983-12-31,,39.334920000000004,,67.05283333333334,17.4977359287485,19.0206945582473,,uk
1984-03-31,461487097632.349,39.57659,,67.54432000000001,18.1800326906679,19.6711238757887,56422072.0,uk
1984-06-30,,40.378323333333334,,65.33263,18.1040608224304,20.5307358794598,,uk
1984-09-30,,40.73124333333333,,64.73583,18.8442616208848,21.1263744776949,,uk
1984-12-31,,41.23760333333333,,65.61348,19.3803617575425,21.826296558464,,uk
1985-03-31,489285164271.047,41.754470000000005,,67.89538666666667,20.0585386413637,23.0140460521195,56550268.0,uk
1985-06-30,,43.192190000000004,,70.59856333333333,19.3500200822181,20.7249812466882,,uk
1985-09-30,,43.29812999999999,,69.89644,18.0651091769013,19.1592761784637,,uk
1985-12-31,,43.51,,69.40495,17.727747391331,19.0667894867066,,uk
1986-03-31,601452653180.885,43.81268,12.452846666666666,69.86133333333333,16.5633063526571,18.9912329199151,56681396.0,uk
1986-06-30,,44.387766666666664,10.222223333333334,70.91452,16.4478912029739,18.8775967444683,,uk
1986-09-30,,44.43317,10.040439999999998,71.19536333333333,15.7253048621153,19.1116303171812,,uk
1986-12-31,,45.00825666666666,11.271566666666667,72.49429666666667,16.2997601021874,19.6847681930762,,uk
1987-03-31,745162608269.325,45.55308,10.66908,72.63472,16.5538274151715,18.8400627377247,56802050.0,uk
1987-06-30,,46.24924000000001,9.211656666666666,73.37195,15.7729450193594,18.5960933639567,,uk
1987-09-30,,46.35518,9.847893333333333,74.67087666666667,15.7553006727297,19.0564709340685,,uk
1987-12-31,,46.85459666666666,8.99968,75.33789999999999,15.7756088652034,19.2055616073239,,uk
1988-03-31,910122732123.799,47.03333333333333,9.0293,76.25066,14.6574336067042,18.4636448093605,56928327.0,uk
1988-06-30,,48.0,8.472053333333333,76.81235666666667,14.9306422939999,18.8084955331649,,uk
1988-09-30,,48.46666666666667,11.402763333333333,78.49745666666666,14.9870023308511,19.465921016048,,uk
1988-12-31,,49.199999999999996,12.506583333333333,78.7432,14.4352777505462,19.7341208370018,,uk
1989-03-31,926884816753.927,49.73333333333333,13.095926666666669,78.88362333333333,14.8211830709485,19.5839937810298,57076711.0,uk
1989-06-30,,50.800000000000004,13.529423333333332,78.84851333333333,15.0769828080715,19.9747184873601,,uk
1989-09-30,,51.199999999999996,13.977020000000001,79.34000333333334,15.1756413114173,20.3898529951886,,uk
1989-12-31,,52.06666666666666,15.124696666666665,79.58574666666668,15.8956173257097,19.5216142121823,,uk
1990-03-31,1093169389204.55,52.800000000000004,15.221449999999999,78.91872666666667,15.5658674831577,19.8128687138996,57247586.0,uk
1990-06-30,,54.86666666666667,15.154916666666665,80.07723333333333,15.6214464130553,19.423679756968,,uk
1990-09-30,,55.70000000000001,14.984536666666665,78.70809333333334,15.0327245179191,18.2775720449511,,uk
1990-12-31,,56.86666666666667,13.874990000000002,77.97086,15.4611381778712,17.6090485205416,,uk
1991-03-31,1142797178130.51,57.23333333333333,13.25633,77.12831,14.569022161466,16.960096952235,57424897.0,uk
1991-06-30,,59.13333333333333,11.626193333333333,76.21555666666667,14.8340433481466,16.5978962799633,,uk
1991-09-30,,59.76666666666667,10.799026666666668,75.51342666666666,14.9184686786308,17.0556937548777,,uk
1991-12-31,,60.53333333333333,10.612123333333333,76.28576666666667,14.9341846599653,16.7483572520294,,uk
1992-03-31,1179659529659.53,60.800000000000004,10.602829999999999,76.32087,14.3163579616134,16.4952988593149,57580402.0,uk
1992-06-30,,62.06666666666666,10.271536666666668,75.96980666666667,14.9724058382866,17.1253689139551,,uk
1992-09-30,,62.13333333333333,10.217313333333333,76.77725333333333,14.5043079065292,17.0607287315756,,uk
1992-12-31,,62.53333333333333,7.630633333333333,77.19852333333334,15.465912160704,17.8892200205521,,uk
1993-03-31,1061388722255.55,62.699999999999996,6.415473333333334,77.37405333333334,15.4834852036068,17.565832602733,57718614.0,uk
1993-06-30,,63.53333333333333,6.006586666666666,77.61979666666667,15.4297721827328,17.8593389760699,,uk
1993-09-30,,63.699999999999996,5.95916,78.39213666666667,15.5078681685967,17.711074282344,,uk
1993-12-31,,63.93333333333334,5.6013433333333325,79.44532,15.4901866475569,17.5526057756313,,uk
1994-03-31,1140489745944.29,64.2,5.311436666666666,80.60382666666668,16.0650994734676,18.3358807618021,57865745.0,uk
1994-06-30,,65.03333333333333,5.23498,82.32403000000001,16.4717607122635,18.4483493263612,,uk
1994-09-30,,65.0,5.537310000000001,82.92083333333333,16.9598946142617,18.2604088531882,,uk
1994-12-31,,65.26666666666667,6.175636666666667,83.93891666666666,17.2520689722016,19.0549341706851,,uk
1995-03-31,1344240176739.78,65.73333333333333,6.72241,83.16658,18.0274410968548,19.0135687065488,58019030.0,uk
1995-06-30,,66.63333333333334,6.742443333333334,83.79849,18.000216445717,20.1005348029236,,uk
1995-09-30,,66.89999999999999,6.84931,84.11444666666667,18.2742874671081,20.3574474577449,,uk
1995-12-31,,67.23333333333333,6.696186666666667,84.50061666666666,18.535070611045,20.3139422177005,,uk
1996-03-31,1419645865834.63,67.66666666666667,6.277533333333333,85.02720666666666,18.8244326058015,20.6070171320772,58166950.0,uk
1996-06-30,,68.53333333333333,6.045266666666667,84.50061333333333,18.6032967043881,20.8839507905832,,uk
1996-09-30,,68.66666666666667,5.840596666666666,84.85167666666666,18.4436292855786,20.1101726061999,,uk
