,gdp_real,gdp_nominal,household_consumption,capital_formation,government_spending,exports_volume,imports_volume,unemployment_rate,employment_level,cpi_all_items,interest_rate_short_term,interest_rate_long_term,industrial_production_index,trade_balance,money_supply_broad,population_total,population_working_age,country
1980-03-31,7341.557,2789.842,1702.302,554.562,568.781,268.508,304.311,6.3,99862.33333333333,79.03333333333333,15.065274725274726,11.986666666666666,51.88423333333333,,1492.3666666666668,227225000.0,142470500.0,usa
1980-06-30,7190.289,2797.352,1704.723,519.294,588.547,277.389,292.6,7.333333333333333,98953.33333333333,81.7,12.6689010989011,10.476666666666667,49.678200000000004,,1514.5666666666666,,143249166.66666666,usa
1980-09-30,7181.743,2856.483,1763.771,495.071,592.169,284.673,279.202,7.666666666666667,98899.0,83.23333333333333,9.823152173913044,10.953333333333333,48.8647,,1560.3333333333333,,143900266.66666666,usa
1980-12-31,7315.677,2985.557,1831.874,551.472,608.893,292.517,299.2,7.3999999999999995,99498.66666666667,85.56666666666666,15.852826086956522,12.423333333333332,50.75466666666667,,1593.4666666666665,,144156300.0,usa
1981-03-31,7459.022,3124.206,1885.734,619.381,633.35,305.467,319.726,7.433333333333334,100239.0,87.93333333333334,16.595555555555556,12.959999999999999,50.87903333333333,,1620.7333333333333,229466000.0,144450833.33333334,usa
1981-06-30,7403.745,3162.532,1917.524,609.843,648.673,308.455,321.963,7.3999999999999995,100800.66666666667,89.76666666666667,17.786923076923078,13.75,51.04756666666666,,1664.5666666666666,,145030000.0,usa
1981-09-30,7492.405,3260.609,1958.099,652.297,657.774,302.339,309.9,7.3999999999999995,100482.0,92.26666666666667,17.594347826086956,14.846666666666666,51.529566666666675,,1694.0666666666666,,145506600.0,usa
1981-12-31,7410.768,3280.818,1974.447,643.395,677.727,304.695,319.445,8.233333333333334,100076.66666666667,93.76666666666667,13.588369565217393,14.086666666666668,50.36983333333333,,1737.8,,145988066.66666666,usa
1982-03-31,7295.631,3274.302,2014.155,588.318,688.104,293.202,309.478,8.833333333333334,99708.66666666667,94.60000000000001,14.207444444444445,14.293333333333331,49.33976666666666,,1777.1333333333332,231664000.0,146116133.33333334,usa
1982-06-30,7328.912,3331.972,2039.645,593.621,703.093,294.729,299.115,9.433333333333334,99745.0,95.96666666666665,14.514175824175824,13.93,48.73323333333334,,1815.1000000000001,,146727533.33333334,usa
1982-09-30,7300.896,3366.322,2085.671,592.954,717.344,279.634,309.282,9.9,99543.33333333333,97.63333333333333,11.012717391304347,13.116666666666667,48.04319999999999,,1845.0333333333335,,147175666.66666666,usa
1982-12-31,7303.817,3402.561,2145.554,549.242,737.351,265.274,294.861,10.666666666666666,99119.66666666667,97.93333333333334,9.283913043478261,10.666666666666666,47.14553333333333,,1886.4333333333334,,147682500.0,usa
1983-03-31,7400.066,3473.413,2184.589,565.52,747.852,270.703,295.251,10.366666666666667,99143.0,98.0,8.657555555555556,10.563333333333334,47.67693333333333,,1990.4666666666665,233792000.0,147522766.66666666,usa
1983-06-30,7568.456,3578.848,2249.438,613.783,761.061,272.514,317.949,10.133333333333333,99945.0,99.13333333333333,8.802747252747253,10.543333333333335,48.74623333333333,,2041.7333333333333,,148211066.66666666,usa
1983-09-30,7719.746,3689.179,2319.895,652.269,782.216,278.181,343.381,9.366666666666667,101610.66666666667,100.10000000000001,9.458152173913044,11.626666666666667,50.410533333333326,,2074.0,,148537800.0,usa
1983-12-31,7880.794,3794.706,2372.496,718.496,775.099,286.587,357.972,8.533333333333333,102588.0,101.10000000000001,9.430108695652175,11.686666666666667,51.729366666666664,,2111.6666666666665,,148934266.66666666,usa
1984-03-31,8034.847,3908.054,2418.165,790.872,794.021,292.975,387.978,7.866666666666667,103664.0,102.53333333333335,9.688571428571429,11.943333333333333,53.2534,,2157.2,235825000.0,149280300.0,usa
1984-06-30,8173.67,4009.601,2475.876,818.894,819.132,302.2,406.501,7.433333333333334,105040.0,103.5,10.554725274725275,13.200000000000001,54.0804,,2203.633333333333,,149723600.0,usa
1984-09-30,8252.465,4084.25,2513.523,838.852,835.72,305.744,409.591,7.433333333333334,105362.66666666667,104.39999999999999,11.392282608695652,12.866666666666667,54.450733333333325,,2232.766666666667,,150111666.66666666,usa
1984-12-31,8320.199,4148.551,2561.797,831.741,862.769,308.603,416.359,7.3,105944.33333333333,105.3,9.2625,11.743333333333334,54.47733333333334,,2282.2333333333336,,150503700.0,usa
1985-03-31,8400.82,4230.168,2636.008,809.865,875.592,306.01,397.308,7.233333333333333,106615.33333333333,106.26666666666667,8.475111111111111,11.583333333333334,54.66046666666667,,2350.9,237924000.0,150668200.0,usa
1985-06-30,8474.787,4294.887,2681.764,827.04,900.527,304.126,418.571,7.3,106791.0,107.23333333333333,7.924395604395604,10.813333333333333,54.69910000000001,,2392.5,,151058966.66666666,usa
1985-09-30,8604.22,4386.773,2754.148,822.157,927.363,297.273,414.168,7.2,107186.33333333333,107.89999999999999,7.900978260869565,10.336666666666666,54.621100000000006,,2443.2999999999997,,151379633.33333334,usa
1985-12-31,8668.188,4444.094,2779.4,859.545,938.584,305.433,438.867,7.033333333333334,108023.33333333333,109.0,8.104456521739131,9.76,54.93013333333334,,2479.2999999999997,,151775566.66666666,usa
1986-03-31,8749.127,4507.894,2823.648,863.457,946.803,313.404,439.418,7.033333333333334,108734.66666666667,109.56666666666666,7.826888888888888,8.556666666666667,55.2605,,2516.0333333333333,240133000.0,152451933.33333334,usa
1986-06-30,8788.524,4545.34,2851.456,855.237,967.519,315.119,443.99,7.166666666666667,109205.66666666667,109.03333333333335,6.918461538461539,7.603333333333333,54.93363333333334,,2582.5333333333333,,152904866.66666666,usa
1986-09-30,8872.601,4607.669,2917.201,835.832,993.597,320.471,459.432,6.966666666666666,109970.0,109.7,6.20945652173913,7.3066666666666675,55.15443333333334,,2646.9666666666667,,153280833.33333334,usa
1986-12-31,8920.193,4657.627,2952.807,842.063,996.385,334.999,468.628,6.833333333333333,110492.0,110.46666666666665,6.266739130434782,7.263333333333333,55.781,,2705.566666666667,,153705333.33333334,usa
1987-03-31,8986.367,4722.156,2983.513,871.196,1008.681,336.451,477.685,6.599999999999999,111206.0,111.8,6.222555555555555,7.1933333333333325,56.514,,2748.366666666667,242289000.0,154030300.0,usa
1987-06-30,9083.256,4806.16,3053.33,874.588,1025.219,355.36,502.337,6.266666666666667,112158.0,113.06666666666666,6.6499999999999995,8.343333333333334,57.52586666666667,,2771.7333333333336,,154510566.66666666,usa
1987-09-30,9162.024,4884.555,3117.358,876.466,1036.195,371.854,517.318,6.0,112866.66666666667,114.26666666666667,6.839565217391304,8.876666666666667,58.609766666666665,,2788.9,,154814766.66666666,usa
1987-12-31,9319.332,5007.994,3150.916,946.459,1056.024,392.107,537.511,5.833333333333333,113526.66666666667,115.33333333333333,6.919673913043479,9.123333333333333,60.007000000000005,,2820.0333333333333,,155158000.0,usa
1988-03-31,9367.502,5073.372,3231.896,908.569,1056.893,418.727,542.714,5.7,114093.33333333333,116.23333333333333,6.665934065934066,8.416666666666666,60.55546666666667,,2869.5,244499000.0,155504700.0,usa
1988-06-30,9490.594,5190.036,3291.716,934.525,1070.421,439.471,546.098,5.466666666666666,114623.0,117.56666666666666,7.154945054945055,8.91,61.084599999999995,,2925.0333333333333,,155820800.0,usa
1988-09-30,9546.206,5282.835,3361.899,942.009,1078.19,453.586,552.849,5.466666666666666,115232.66666666667,119.0,7.983478260869566,9.1,61.30886666666667,,2952.0333333333333,,156156366.66666666,usa
1988-12-31,9673.405,5399.509,3434.539,962.748,1109.916,466.619,574.314,5.333333333333333,115947.33333333333,120.3,8.468478260869565,8.956666666666667,61.74626666666666,,2977.9,,156509533.33333334,usa
1989-03-31,9771.725,5511.253,3490.172,1005.487,1116.559,485.189,586.154,5.2,116835.33333333333,121.66666666666667,9.446444444444444,9.206666666666665,62.036699999999996,,2994.533333333333,246819000.0,156819900.0,usa
1989-06-30,9846.293,5612.463,3553.767,1001.047,1145.809,507.229,595.389,5.233333333333333,117204.66666666667,123.63333333333333,9.725714285714286,8.773333333333333,61.80056666666667,,3015.1666666666665,,156974633.33333334,usa
1989-09-30,9919.228,5695.365,3609.399,996.46,1164.58,509.352,584.427,5.233333333333333,117493.66666666667,124.60000000000001,9.083586956521739,8.106666666666667,61.417899999999996,,3073.1,,157331900.0,usa
1989-12-31,9938.767,5747.237,3653.692,995.809,1180.5,515.387,598.152,5.366666666666667,117774.33333333333,125.86666666666667,8.61445652173913,7.906666666666666,61.6561,,3133.2999999999997,,157780700.0,usa
1990-03-31,10047.386,5872.701,3737.948,1010.838,1212.45,538.232,626.767,5.3,119114.33333333333,128.03333333333333,8.248000000000001,8.423333333333334,62.1073,,3178.7000000000003,249623000.0,159382800.0,usa
1990-06-30,10083.855,5960.028,3783.421,1014.72,1230.721,545.925,614.759,5.333333333333333,118995.33333333333,129.29999999999998,8.239340659340659,8.676666666666668,62.54476666666667,,3205.2999999999997,,159634300.0,usa
