,gdp_real,gdp_nominal,unemployment_rate,cpi_all_items,cpi_annual_growth,interest_rate_short_term,interest_rate_long_term,industrial_production_index,exports_volume,imports_volume,trade_balance,household_consumption,capital_formation,employment_level,money_supply_broad,exchange_rate_usd,stock_market_index,government_spending,population_total,population_working_age
2000-01-01,388892.675509172,305809.0,11.10439,2.352582,2.5376853209500094,3.0429,5.747999999999999,124.9693,20.0705689800455,19.5283518378036,0.0,248222000000.0,74579600000.0,53.01252,,0.98659965515,144.1319,74842.8264817141,56942108.0,38636510.0
2000-02-01,,,,,,3.2757,5.726,125.7063,,,,,,,,1.01583126038095,163.1723,,,
2000-03-01,,,,,,3.5104,5.577000000000001,126.7591,,,,,,,,1.03626881430435,171.7711,,,
2000-04-01,391455.222947467,308578.2,10.7352,2.490887,,3.685,5.466,127.7066,20.5933370382893,20.5795729973482,-0.72,249903700000.0,74834600000.0,53.45625,,1.057506551,157.5129,74671.8770769108,,38644270.0
2000-05-01,,,,,,3.92,5.665,128.4436,,,,,,,,1.1019083055909098,160.9872,,,
2000-06-01,,,,,,4.2945,5.51,128.233,,,,,,,,1.05298371918182,163.849,,,
2000-07-01,394994.753259094,313205.0,10.4964,2.630783,,4.3086,5.591,127.3908,21.6015568088243,21.6465486865388,-0.63,251216700000.0,75721700000.0,53.9325,,1.06541093333333,167.0109,76136.4877118231,,38645090.0
2000-08-01,,,,,,4.4191,5.563,128.4436,,,,,,,,1.10593816330435,165.8924,,,
2000-09-01,,,,,,4.5905,5.632000000000001,128.3383,,,,,,,,1.1483974475714298,166.7135,,,
2000-10-01,398822.091440365,318104.8,10.00247,2.673476,,4.7627,5.578,128.8647,21.8152598340176,21.8108026667671,-0.69,253121700000.0,75838400000.0,54.41602,,1.171642344,161.3617,76186.7885856409,,38642430.0
2000-11-01,,,,,,4.8291,5.547999999999999,130.5492,,,,,,,,1.16781840709524,169.1019,,,
2000-12-01,,,,,,4.8268,5.297999999999999,132.1284,,,,,,,,1.11084724065,158.5365,,,
2001-01-01,401960.254617945,323437.7,9.815818,2.895522,2.78516542713554,4.7559,5.183,128.6541,21.3054903376721,20.7539854818901,-0.19,253557400000.0,78938500000.0,54.58447,,1.06510992013636,156.3684,79282.2694164575,56976981.0,38652920.0
2001-02-01,,,,,,4.9925,5.184,127.9172,,,,,,,,1.0853814393,151.5658,,,
2001-03-01,,,,,,4.7814,5.13,128.0225,,,,,,,,1.10101394831818,138.9981,,,
2001-04-01,401691.817577442,326095.5,9.523403,3.052756,,5.0642,5.282,126.4432,21.181054715079,20.8473627816131,-0.27,252761200000.0,78912900000.0,54.54468000000001,,1.118874966,143.5498,78784.5022684208,,38640370.0
2001-05-01,,,,,,4.6536,5.449,126.5485,,,,,,,,1.143491682,144.2442,,,
2001-06-01,,,,,,4.5395,5.399,126.8644,,,,,,,,1.1708814672381005,136.5974,,,
2001-07-01,400144.81695673,327941.4,9.516593,2.799057,,4.5055,5.416,124.3376,20.6356155325063,20.1473775731377,-0.49,251455200000.0,79305900000.0,54.91441,,1.16093285659091,132.1443,79239.0492872173,,38639230.0
2001-08-01,,,,,,4.4913,5.215,126.4432,,,,,,,,1.10859362878261,130.5322,,,
2001-09-01,,,,,,3.9865,5.196000000000001,124.7587,,,,,,,,1.09583135555,107.0034,,,
2001-10-01,399566.357792983,330205.5,9.236442,2.399064,,3.9713,4.964,123.7059,20.6224863774689,19.2151160935362,0.72,251410400000.0,80389500000.0,55.06936,,1.10384873391304,110.3981,81085.6522984355,,38648780.0
2001-11-01,,,,,,3.5073,4.8,122.0214,,,,,,,,1.12572307731818,115.0026,,,
2001-12-01,,,,,,3.3389,5.047,123.8112,,,,,,,,1.11988998488889,116.1578,,,
2002-01-01,400065.378785856,334062.0,8.967242,2.407891,2.46532319171166,3.2936,5.142,122.7584,19.975180147959,19.2399160349686,-0.03,251984200000.0,80119800000.0,55.4556,,1.13291086557143,117.0126,79878.6152422505,57089824.0,38651150.0
2002-02-01,,,,,,3.283,5.199,124.127,,,,,,,,1.1485257019,113.6489,,,
2002-03-01,,,,,,3.264,5.4110000000000005,125.1799,,,,,,,,1.14076238890476,121.5584,,,
2002-04-01,401171.382044098,336679.6,9.174257,2.2720740000000004,,3.3162,5.404,121.0739,19.8220487157037,19.2073084563305,-0.79,251206500000.0,80368200000.0,55.37642,,1.1276855728181798,122.218,81103.5840541841,,38690260.0
2002-05-01,,,,,,3.31,5.406000000000001,125.601,,,,,,,,1.08912031656522,117.0485,,,
2002-06-01,,,,,,3.3485,5.255,124.4429,,,,,,,,1.04543044505,106.5378,,,
2002-07-01,401871.131032502,340414.5,9.066329,2.407567,,3.3017,5.109,123.7059,19.8239741275669,19.1928651663381,-0.52,252006500000.0,81469200000.0,55.60916,,1.00834930243478,98.24298,81424.1486723359,,38681400.0
2002-08-01,,,,,,3.2927,4.828,122.0214,,,,,,,,1.02246676136364,96.79765,,,
2002-09-01,,,,,,3.3186,4.618,124.7587,,,,,,,,1.018930549,90.55453000000001,,,
2002-10-01,404194.297674001,343074.3,8.817732000000001,2.771429,,3.3004,4.757,123.0742,19.9324242060636,19.61094484948,-1.62,253631900000.0,79852500000.0,55.69104,,1.01855763682609,86.27762,80235.2272873431,,38680890.0
2002-11-01,,,,,,3.3043,4.735,125.3904,,,,,,,,0.9983914570476192,92.76529,,,
2002-12-01,,,,,,3.0945,4.548,124.127,,,,,,,,0.9816505963684208,92.50199,,,
2003-01-01,402504.681545177,345627.5,8.799837,2.719547,2.67255552772849,2.7868,4.375,125.3904,19.3415312766835,19.4971740910913,-1.15,253030600000.0,81150500000.0,55.88775,,0.940409409954545,90.022,81066.9848809126,57399184.0,38687560.0
2003-02-01,,,,,,2.7635,4.157,122.8637,,,,,,,,0.92759539015,86.63868999999998,,,
2003-03-01,,,,,,2.749,4.185,123.0742,,,,,,,,0.926530916619048,83.93863,,,
2003-04-01,401795.158285189,348154.6,8.893497,2.699662,,2.5605,4.312,124.7587,18.5319409045448,18.6529824262229,-1.58,253351100000.0,81507800000.0,56.06437,,0.919937204636364,89.03839,81344.421327546,,38698400.0
2003-05-01,,,,,,2.5571,4.035,120.5475,,,,,,,,0.864283957363636,91.99181,,,
