,gdp_real,gdp_nominal,unemployment_rate,cpi_all_items,cpi_annual_growth,interest_rate_short_term,interest_rate_long_term,industrial_production_index,exports_volume,imports_volume,trade_balance,household_consumption,capital_formation,employment_level,money_supply_broad,exchange_rate_usd,stock_market_index,government_spending,population_total,population_working_age
2000-01-01,431553.163842648,361616.2,,1.461752,1.67595988720928,3.0429,5.66,107.2544,22.8443057601792,23.2312790036805,1.91,238479700000.0,104173400000.0,,,0.98659965515,98.18359,101676.593395137,60918661.0,24.6040042583603
2000-02-01,,,,,,3.2757,5.62,107.5486,,,,,,,,1.01583126038095,105.3725,,,
2000-03-01,,,,,,3.5104,5.43,108.2645,,,,,,,,1.03626881430435,109.6896,,,
2000-04-01,436371.029559662,366613.8,,1.423246,,3.685,5.33,108.9019,23.8715021580998,24.1745220845814,1.76,240630000000.0,104581600000.0,,,1.057506551,105.852,102151.884299431,,
2000-05-01,,,,,,3.92,5.5,110.2356,,,,,,,,1.1019083055909098,107.8977,,,
2000-06-01,,,,,,4.2945,5.32,108.8038,,,,,,,,1.05298371918182,110.947,,,
2000-07-01,439753.121163989,371656.8,,1.903914,,4.3086,5.4,110.0983,24.002831863719,25.138123027436,0.88,241876000000.0,104915400000.0,,,1.06541093333333,110.7003,102506.445281974,,
2000-08-01,,,,,,4.4191,5.36,109.1078,,,,,,,,1.10593816330435,111.967,,,
2000-09-01,,,,,,4.5905,5.42,109.3628,,,,,,,,1.1483974475714298,111.9686,,,
2000-10-01,442419.391961789,375583.1,,1.913168,,4.7627,5.36,110.6573,25.1946101428662,26.6475523807502,1.02,242015100000.0,105094600000.0,,,1.171642344,105.3168,102661.948259806,,
2000-11-01,,,,,,4.8291,5.29,110.4612,,,,,,,,1.16781840709524,105.4762,,,
2000-12-01,,,,,,4.8268,5.04,111.3732,,,,,,,,1.11084724065,100.8238,,,
2001-01-01,444715.085346573,379010.8,,1.306284,1.63478079549602,4.7559,4.94,110.9515,24.4790881039464,25.1923740968627,1.54,244544500000.0,105329100000.0,,,1.06510992013636,99.78284,102784.541023848,61364377.0,24.7954958564477
2001-02-01,,,,,,4.9925,4.93,111.6576,,,,,,,,1.0853814393,97.40707,,,
2001-03-01,,,,,,4.7814,4.84,112.1479,,,,,,,,1.10101394831818,90.1658,,,
2001-04-01,444822.260826265,381412.0,,2.050618,,5.0642,5.0,110.2944,24.1365963910449,24.7318599637747,1.59,246462100000.0,105542200000.0,,,1.118874966,91.85268,102906.867667562,,
2001-05-01,,,,,,4.6536,5.21,111.128,,,,,,,,1.143491682,95.85862,,,
2001-06-01,,,,,,4.5395,5.15,111.1868,,,,,,,,1.1708814672381005,91.24416,,,
2001-07-01,447382.8833725,385064.7,,1.776798,,4.5055,5.15,109.657,23.2695431908461,23.4197398948313,1.95,247624000000.0,105905100000.0,,,1.16093285659091,86.31496,103212.285096358,,
2001-08-01,,,,,,4.4913,4.95,112.3538,,,,,,,,1.10859362878261,84.85224000000001,,,
2001-09-01,,,,,,3.9865,4.94,110.7357,,,,,,,,1.09583135555,71.22739,,,
2001-10-01,445427.582186,385754.3,,1.404832,,3.9713,4.72,110.0199,22.2817571071146,22.1547134808176,1.74,249110200000.0,106187700000.0,,,1.10384873391304,73.33598,103403.714318356,,
2001-11-01,,,,,,3.5073,4.57,108.7646,,,,,,,,1.12572307731818,78.01146,,,
2001-12-01,,,,,,3.3389,4.87,109.4217,,,,,,,,1.11988998488889,78.71862,,,
2002-01-01,447973.651146561,390176.9,,2.15183,1.9234122872706,3.2936,4.93,109.4118,22.2789925224766,22.5337588263236,1.2,249666700000.0,106443500000.0,,,1.13291086557143,79.00004,103579.353734277,61812142.0,24.9477711089087
2002-02-01,,,,,,3.283,4.99,109.8335,,,,,,,,1.1485257019,76.41946,,,
2002-03-01,,,,,,3.264,5.24,110.3141,,,,,,,,1.14076238890476,81.21696,,,
2002-04-01,450076.464602679,393487.6,,1.624719,,3.3162,5.24,111.0103,22.3552675275494,22.1416559296426,1.3,251365300000.0,107411800000.0,,,1.1276855728181798,80.50818000000001,104531.443558052,,
2002-05-01,,,,,,3.31,5.26,110.0199,,,,,,,,1.08912031656522,78.11144,,,
2002-06-01,,,,,,3.3485,5.11,109.9022,,,,,,,,1.04543044505,70.79169,,,
2002-07-01,451964.657588567,397287.1,,1.774398,,3.3017,4.96,108.7548,22.0879006451975,21.5810241458443,1.36,252916600000.0,107991400000.0,,,1.00834930243478,62.83196,105124.803180827,,
2002-08-01,,,,,,3.2927,4.67,110.7259,,,,,,,,1.02246676136364,61.03434,,,
2002-09-01,,,,,,3.3186,4.46,109.3922,,,,,,,,1.018930549,55.69793000000001,,,
2002-10-01,452341.97277273,399443.1,,2.145484,,3.3004,4.55,108.4998,21.7751383831589,21.6958453434696,0.91,253986300000.0,108683400000.0,,,1.01855763682609,53.45279,105926.801140088,,
2002-11-01,,,,,,3.3043,4.53,109.5491,,,,,,,,0.9983914570476192,57.48641,,,
2002-12-01,,,,,,3.0945,4.38,106.9798,,,,,,,,0.9816505963684208,56.35672,,,
2003-01-01,453716.657760362,401597.4,7.9222350000000015,2.366263,2.0984721914692295,2.7868,4.22,109.2157,21.9166531216926,22.6664697992573,0.54,254955500000.0,108808300000.0,80.88632,,0.940409409954545,54.84589,106202.856626121,62249855.0,25.040210951183
2003-02-01,,,,,,2.7635,4.01,110.1768,,,,,,,,0.92759539015,50.73352,,,
2003-03-01,,,,,,2.749,4.1,109.3432,,,,,,,,0.926530916619048,48.53165,,,
2003-04-01,451709.700328411,402156.2,8.089597999999999,1.912854,,2.5605,4.22,109.353,20.9507051822732,21.3934113152318,0.89,255161500000.0,109460200000.0,80.60469,,0.919937204636364,51.73661,106915.43815546,,
2003-05-01,,,,,,2.5571,3.89,106.8033,,,,,,,,0.8642839573636361,53.55896,,,
2003-06-01,,,,,,2.2133,3.69,106.4895,,,,,,,,0.8568760615238091,56.33199,,,
2003-07-01,456605.185169025,408947.1,8.036089999999998,1.93227,,2.0783,4.01,108.4116,20.8315284420048,20.9348331209645,0.73,256262200000.0,109879100000.0,80.60551,,0.879662635565217,56.91606,107382.035795734,,
2003-08-01,,,,,,2.0981,4.16,107.9311,,,,,,,,0.896928097333333,58.97385,,,
2003-09-01,,,,,,2.0209,4.23,107.5486,,,,,,,,0.888519456863636,60.80991,,,
2003-10-01,458182.182964927,412077.9,8.34941,2.184437,,2.0148,4.28,110.1572,21.4958791948285,21.4739347213474,0.87,257147200000.0,110678800000.0,80.4882,,0.8546855464347829,60.81502,108126.285644003,,
2003-11-01,,,,,,1.973,4.41,107.9997,,,,,,,,0.8534178999500001,62.63466999999999,,,
2003-12-01,,,,,,2.0567,4.34,108.6764,,,,,,,,0.8131120243333331,63.89473,,,
2004-01-01,463142.530082437,418054.0,8.518631,1.800087,2.1420896464024106,2.0214,4.2,109.3432,20.9867919009888,21.2195817879902,1.0,258698000000.0,111312800000.0,80.58665,,0.7927523476666669,66.3772,108615.148684982,62707588.0,25.1590771458885
2004-02-01,,,,,,2.0315,4.14,110.471,,,,,,,,0.79142678405,67.63,,,
2004-03-01,,,,,,2.0057,3.98,110.1179,,,,,,,,0.8155332246956519,67.38299,,,
2004-04-01,465196.112890716,420802.8,8.380013,2.390643,,2.078,4.18,110.1375,21.4249926618401,22.0456993656332,0.9,259843400000.0,111926100000.0,80.92641,,0.8335187209999999,68.79276,109192.541088128,,
2004-05-01,,,,,,2.0152,4.34,109.5197,,,,,,,,0.8324215129047621,66.46670999999999,,,
2004-06-01,,,,,,2.0277,4.39,110.6083,,,,,,,,0.823177725863636,67.85228000000001,,,
