,gdp_real,gdp_nominal,unemployment_rate,cpi_all_items,cpi_annual_growth,interest_rate_short_term,interest_rate_long_term,industrial_production_index,exports_volume,imports_volume,trade_balance,household_consumption,capital_formation,employment_level,money_supply_broad,exchange_rate_usd,stock_market_index,government_spending,population_total,population_working_age
2000-01-01,119993325.0,133790100.0,4.8333330000000005,-0.613079,-0.67657868359508,0.0205299999999999,1.6909999999999998,103.0037,9.23760669450125,7.1130118472311,2.62,66574500000000.0,20963900000000.0,68.86086,282860926170901.0,105.269210526316,106.8891,20964275.0,126843000.0,86536820.0
2000-02-01,,,,,,0.0345,1.796,102.8974,,,,,,68.71970999999999,284428305111915.0,109.3595,110.4107,,,86583600.0
2000-03-01,,,,,,0.02136,1.819,104.3856,,,,,,68.69635,284981208915834.0,106.755652173913,107.1534,,,86467480.0
2000-04-01,120530550.0,133836425.0,4.7,-0.7128309999999999,,0.02,1.74,105.9801,9.56526683648042,7.38052676135689,2.55,66475625000000.0,21216400000000.0,68.97746,286407813359657.0,105.58275,107.1289,21216775.0,,86521020.0
2000-05-01,,,,,,0.021,1.705,105.3423,,,,,,69.11366,287113245710851.0,108.18475,103.7279,,,86495200.0
2000-06-01,,,,,,0.0209099999999999,1.664,106.7242,,,,,,68.97551999999999,287352296751074.0,106.312727272727,100.965,,,86450960.0
2000-07-01,120564575.0,133612600.0,4.666667,-0.6469186,,0.021,1.689,106.5116,9.79752917710271,7.84170508520431,2.57,66597149999999.99,21372450000000.0,68.97981999999999,287571189250437.0,107.97619047619,100.0677,21372825.0,,86402080.0
2000-08-01,,,,,,0.1552199999999999,1.75,107.9997,,,,,,68.98673000000001,288357955582489.0,108.24347826087,96.27028000000001,,,86364440.0
2000-09-01,,,,,,0.2494999999999999,1.876,105.7675,,,,,,69.06398,288399383179876.0,106.859523809524,95.65789,,,86398150.0
2000-10-01,121728625.0,134454425.0,4.733333,-0.783112,,0.2476199999999998,1.815,107.362,9.91960605157966,8.26914379362779,2.09,67421575000000.0,21509700000000.0,69.19221999999999,291543613332536.0,108.410454545455,93.21606,21510075.0,,86353640.0
