date,gdp_constant,gdp_current,gdp_growth,unemployment,inflation,exports,gross_capital_formation,trade_balance,population,urban_population,gni_per_capita,interest_rate,exchange_rate,fdi_inflows,manufacturing_value_added,services_value_added
2000-01-01,780432873752.842,259710142196.943,10.0000668136515,10.581,20.7987606558704,114429434767.153,48549591183.7896,52012086740.1351,146596869,107528803,1710,-9.63311144511751,28.1291666666667,2678030000.0,,129121933878.422
2001-01-01,820235350096.64,306602070620.5,5.10005122572568,8.978,21.4770072117158,113116215289.681,67298594446.349,38865272540.2811,145976482,107067910,1780,1.22657850436256,29.168525,2847300000.0,,157795680493.658
2002-01-01,858786345187.109,345470494417.863,4.69999190914258,7.875,15.7887307914463,121649122807.018,69196172248.8038,37240829346.0925,145306497,106569238,2100,0.0329353853463892,31.3484833333333,3473830000.0,52488868835.7257,186014239588.517
2003-01-01,921477339133.556,430347420184.885,7.29995234528189,8.21,13.6632930228666,151697387187.714,89765989699.2785,48937794101.2364,144648618,106133030,2590,-0.60017068040332,30.692025,7928630000.0,61829454172.5416,231602029559.796
2004-01-01,987823227180.876,591016690732.385,7.19994786954857,7.763,10.8886157326216,203415480735.856,123530024297.119,72422769871.5724,144067316,105771342,3410,-7.3289858592129,28.8137416666667,15402990000.0,89932097209.3023,299398834429.018
2005-01-01,1051043572407.72,764015973481.11,6.39996544799469,7.124,12.6853039507349,268957047128.595,153395283527.248,104615816709.412,143518814,105433226,4450,-7.20668991341646,28.2844416666667,15508050000.0,119799413497.357,372885975936.877
2006-01-01,1137229862730.35,989932071352.543,8.20006825456321,7.055,9.66865454789263,333908794239.615,209584377277.182,125994089652.891,143049637,105152927,5810,-4.07869184018714,27.1909583333333,37594770000.0,151372766674.863,492208832951.013
2007-01-01,1233894148246.74,1299703478481.65,8.49997776916511,6.002,9.0072986886108,392043343368.837,314067029451.138,112060410826.929,142805114,105037446,7560,-3.34492661468821,25.5808453675404,55873680000.0,196445401279.747,658599362491.739
2008-01-01,1298056264706.47,1660848058303.11,5.19996926404957,6.205,14.1107677840442,520004224863.321,423536512375.329,153406799012.187,142742366,105055527,9580,-4.90496208972303,24.852875,74782910000.0,248017012518.672,841978346086.72
2009-01-01,1196807955075.78,1222645900055.7,-7.79999391271275,8.301,11.6473295764118,341584048925.976,231402556959.187,90978810005.8607,142785348,105149986,9230,13.0799652826061,31.7403583333333,36583100000.0,157696518810.531,657374234247.767
