,gdp_real,gdp_nominal,unemployment_rate,cpi_all_items,cpi_annual_growth,interest_rate_short_term,interest_rate_long_term,industrial_production_index,exports_volume,imports_volume,trade_balance,household_consumption,capital_formation,employment_level,money_supply_broad,exchange_rate_usd,stock_market_index,government_spending,population_total,population_working_age
2000-01-01,444540.0,272305.0,5.791214,1.1,1.18295624210409,5.3527,5.8227,97.20906,16.3028763285827,19.2121085630152,-2.13,248034000000.0,69114000000.0,57.928,405687000000.0,0.60960706585,98.46317,81789.0,58892514.0,37217000.0
2000-02-01,,,,,,5.8408,5.6347,97.52502,,,,,,,409667000000.0,0.6247780334761899,93.68788,,,
2000-03-01,,,,,,5.762,5.3707,97.20906,,,,,,,413348000000.0,0.6323574168695649,99.19132,,,
2000-04-01,447825.0,273916.0,5.501084,1.0,,5.9347,5.3213,96.99842,16.7402734497589,19.7405435823816,-2.63,250654000000.0,73074000000.0,,421246000000.0,0.63221019435,95.6144,84500.0,,37272000.0
2000-05-01,,,,,,5.9122,5.4033,97.31438,,,,,,,428477000000.0,0.6625915915454548,94.2506,,,
2000-06-01,,,,,,5.9032,5.2097,97.84097000000001,,,,,,,431589000000.0,0.6618938188181819,97.88135,,,
2000-07-01,450688.0,276174.0,5.315786,1.2,,5.9867,5.2388,97.20906,17.0362673978416,20.5867080155581,-2.54,253694000000.0,68011000000.0,,435557000000.0,0.6628430089047621,97.55154,85257.0,,37331000.0
2000-08-01,,,,,,5.8846,5.3312,98.47288,,,,,,,440381000000.0,0.671716355608696,98.31472,,,
2000-09-01,,,,,,6.1259,5.3873,98.15692,,,,,,,441015000000.0,0.69757734135,97.99598,,,
2000-10-01,453447.0,278357.0,5.229118,1.4,,5.8135,5.2179,98.36756,17.4453879905421,21.1693712888846,-3.18,256171000000.0,70115000000.0,,448882000000.0,0.688969357954546,95.43305,85080.0,,37399000.0
2000-11-01,,,,,,5.9811,5.0983,99.21011,,,,,,,448431000000.0,0.7003113409047621,96.45219,,,
2000-12-01,,,,,,5.7383,4.9118,101.3165,,,,,,,459022000000.0,0.6819959873999998,94.45728,,,
2001-01-01,457680.0,282889.0,5.088648,1.3,1.53234960272418,5.9208,4.8471,101.0005,17.4328372774038,21.0677171743534,-1.86,256630000000.0,70186000000.0,58.103,462122000000.0,0.6768880655454548,93.93384,87754.0,59119673.0,37461000.0
2001-02-01,,,,,,5.8447,4.8248,101.1058,,,,,,,466155000000.0,0.6883679155500001,92.77641,,,
2001-03-01,,,,,,5.4017,4.703,101.9484,,,,,,,476732000000.0,0.692499198909091,86.63519000000002,,,
2001-04-01,459620.0,286728.0,5.02845,1.8,,5.3159,4.9468,102.475,16.561959831249,20.4497188377812,-2.56,258169000000.0,72760000000.0,,479852000000.0,0.69654137275,87.45948,86306.0,,37527000.0
2001-05-01,,,,,,5.5203,5.1153,101.9484,,,,,,,481259000000.0,0.700808435347826,89.12458999999998,,,
2001-06-01,,,,,,4.7796,5.1951,102.6856,,,,,,,483802000000.0,0.71287555652381,87.23643,,,
2001-07-01,462016.0,288166.0,5.092117,1.8,,5.2943,5.2037,102.3697,16.2931709140117,19.5674074634807,-1.71,262061000000.0,72699000000.0,,492301000000.0,0.7065416829999999,82.82916,88513.0,,37582000.0
2001-08-01,,,,,,4.8046,4.9854,103.5282,,,,,,,488912000000.0,0.6953624643478261,82.57365,,,
2001-09-01,,,,,,4.8526,4.9876,103.0016,,,,,,,499404000000.0,0.6825601793000001,74.10683,,,
2001-10-01,463404.0,288352.0,5.18041,1.4,,4.5973,4.8253,102.3697,15.9503202149562,19.162117074185,-2.4,264186000000.0,70239000000.0,,501655000000.0,0.6889161445217389,76.72768,90253.0,,37647000.0
2001-11-01,,,,,,3.5761,4.6271,102.475,,,,,,,505256000000.0,0.696440001136364,79.49183000000002,,,
2001-12-01,,,,,,4.5841,4.8928,102.0537,,,,,,,505710000000.0,0.6936693878888889,78.56064,,,
2002-01-01,464698.0,292486.0,5.168532,1.7,1.52040245947455,3.7685,4.9171,101.4218,15.9525636035204,19.261158659131,-2.13,264436000000.0,70130000000.0,58.168,501509000000.0,0.6984069437142859,78.72865,89914.0,59370479.0,37710000.0
2002-02-01,,,,,,4.0574,4.9251,101.5271,,,,,,,504016000000.0,0.70244841955,77.74013999999998,,,
2002-03-01,,,,,,4.0431,5.2202,103.4229,,,,,,,503734000000.0,0.702498323666667,79.65878000000002,,,
2002-04-01,466935.0,295516.0,5.157545,1.3,,3.752,5.2331,101.2112,16.1938574112102,19.2418391719487,-2.47,265483000000.0,70128000000.0,,506953000000.0,0.692691020181818,78.99113,91471.0,,37776000.0
2002-05-01,,,,,,3.9273,5.2689,104.3707,,,,,,,512242000000.0,0.6849978684347829,78.38474000000002,,,
2002-06-01,,,,,,3.5006,5.099,98.99947,,,,,,,517737000000.0,0.6733755974999999,72.29371999999998,,,
2002-07-01,470277.0,299230.0,5.308294999999999,1.3,,3.861,5.0027,105.5292,15.5280480294975,19.0269708511118,-1.12,268175000000.0,73834000000.0,,523437000000.0,0.642369831,64.26420999999999,92773.0,,37837000.0
2002-08-01,,,,,,4.1371,4.746,105.3186,,,,,,,525709000000.0,0.6504718115454549,64.6251,,,
2002-09-01,,,,,,3.8711,4.5006,106.8984,,,,,,,532368000000.0,0.642425758619048,59.99751,,,
2002-10-01,473899.0,304207.0,5.117127,1.6,,4.0884,4.6160000000000005,105.5292,14.74074395683,18.5640663964454,-1.85,270583000000.00003,77492000000.0,,535658000000.0,0.642059724565217,60.18265,92920.0,,37899000.0
2002-11-01,,,,,,3.6521,4.6378,105.8452,,,,,,,538684000000.0,0.636396729428571,62.20182,,,
2002-12-01,,,,,,4.3953,4.5644,106.6877,,,,,,,544669000000.0,0.6303653702631579,59.87089,,,
2003-01-01,477357.0,307485.0,5.166886,1.5,1.37650038542013,3.8044,4.3899,106.1611,15.0355309128295,18.7417726594354,-0.82,272301000000.0,77778000000.0,58.418,544237000000.0,0.6178942535909089,57.52251999999999,93853.0,59647577.0,37961000.0
2003-02-01,,,,,,3.7243,4.2131,107.3196,,,,,,,552005000000.0,0.6220417624999999,55.25437,,,
2003-03-01,,,,,,3.9196,4.3243,107.0037,,,,,,,553132000000.0,0.631704720714286,55.16339,,,
2003-04-01,481552.0,312948.0,4.937191,1.3,,3.619,4.4663,106.4771,14.7210559104668,18.5901473307293,-1.92,275579000000.0,72951000000.0,,558196000000.0,0.634901450454545,58.61187,95166.0,,38022000.0
2003-05-01,,,,,,3.6875,4.2197,105.1079,,,,,,,563809000000.0,0.616385258909091,60.44756,,,
2003-06-01,,,,,,3.6535,4.1127,105.7399,,,,,,,562602000000.0,0.6022204895714289,62.46885,,,
2003-07-01,485973.0,317463.0,5.050573,1.4,,3.2923,4.4078,106.3718,14.8161113412299,18.5698968287853,-2.14,277540000000.0,74012000000.0,,564995000000.0,0.6161653090869571,61.85336,96381.0,,38094000.0
2003-08-01,,,,,,3.5053,4.604,106.5824,,,,,,,571518000000.0,0.6274934315238099,63.41202,,,
2003-09-01,,,,,,3.5179,4.7132,106.7931,,,,,,,578026000000.0,0.619870045272727,64.21674,,,
2003-10-01,490059.0,320438.0,4.895669,1.3,,3.355,4.9071,108.6888,14.5181602056545,18.9028158616644,-1.23,279165000000.0,74176000000.0,,584389000000.0,0.5959763224347829,65.05785999999999,98205.0,,38166000.0
2003-11-01,,,,,,3.5483,5.065,107.2143,,,,,,,590212000000.0,0.5917170611,65.95235,,,
2003-12-01,,,,,,3.7778,4.896,107.2143,,,,,,,595787000000.0,0.5709761025238089,66.67201,,,
2004-01-01,492014.0,322778.0,4.79711,1.3,1.39039756680422,3.7159,4.7875,108.5835,14.1002482061638,18.5141491398063,-1.68,280754000000.0,76337000000.0,58.596,603731000000.0,0.548156636380952,67.79669,98519.0,59987905.0,38242000.0
2004-02-01,,,,,,4.0873,4.8056,108.2675,,,,,,,607439000000.0,0.5353254374,67.37318,,,
2004-03-01,,,,,,3.904,4.7088,108.3728,,,,,,,615652000000.0,0.5470680476956519,67.42761,,,
2004-04-01,494824.0,329732.0,4.804895,1.3,,3.8914,4.957,108.8994,14.0202466452235,18.7857024542676,-2.16,283081000000.0,75848000000.0,,629984000000.0,0.5541189433636359,68.43538000000001,99650.0,,38316000.0
2004-05-01,,,,,,4.203,5.1118,107.3196,,,,,,,618111000000.0,0.559053109047619,67.53452,,,
2004-06-01,,,,,,4.3628,5.2,107.109,,,,,,,634267000000.0,0.5466509930909089,67.90693,,,
2004-07-01,496642.0,331592.0,4.682643,1.3,,4.4623,5.1083,106.6877,14.3151107027202,19.180794032292,-2.55,284578000000.0,77191000000.0,,640226000000.0,0.5424119445,66.15358,100215.0,,38408000.0
2004-08-01,,,,,,4.63,5.0071,105.1079,,,,,,,649732000000.0,0.549680897636364,66.53008,,,
2004-09-01,,,,,,4.7314,4.9109,104.792,,,,,,,652463000000.0,0.557799687454545,69.15671,,,
2004-10-01,499020.0,338535.0,4.728203,1.5,,4.7297,4.7683,104.792,14.5090768135454,19.3553237349809,-1.09,286866000000.0,77494000000.0,,659590000000.0,0.5530845956190479,70.43696,101171.0,,38511000.0
2004-11-01,,,,,,4.7408,4.6903,105.5292,,,,,,,666569000000.0,0.537472686636364,71.93784000000001,,,
2004-12-01,,,,,,4.7618,4.5316,105.0026,,,,,,,670518000000.0,0.518143251956522,72.03959,,,
2005-01-01,502702.0,341254.0,4.688121,1.8,2.0891364902507,4.7599,4.5419,105.6345,14.261726322148,19.0576058018394,-1.85,289827000000.0,78969000000.0,58.654,678253000000.0,0.5323703638571428,73.1776,100706.0,60401206.0,38616000.0
2005-02-01,,,,,,4.816,4.5884,105.2133,,,,,,,682831000000.0,0.52945700145,75.80225,,,
2005-03-01,,,,,,4.7618,4.796,103.5282,,,,,,,690884000000.0,0.525311771869565,75.18692,,,
2005-04-01,506906.0,348491.0,4.755134,1.9,,4.8125,4.6218,106.2665,14.7850862279311,19.009676062489,-0.61,289618000000.0,80832000000.0,,695958000000.0,0.52732988047619,74.11638,102313.0,,38721000.0
2005-05-01,,,,,,4.7079,4.4173,105.6345,,,,,,,703798000000.0,0.5395472868181819,74.69122,,,
2005-06-01,,,,,,4.7935,4.2847,106.4771,,,,,,,710433000000.0,0.550150192727273,76.57999000000001,,,
2005-07-01,511132.0,352001.0,4.729285,2.4,,4.7546,4.3011,105.2133,15.472699461461,19.6470533323474,-2.31,292866000000.0,80052000000.0,,718151000000.0,0.570850553380952,79.2753,102717.0,,38820000.0
2005-08-01,,,,,,4.5775,4.3249,104.3707,,,,,,,723406000000.0,0.5572113543478259,80.47882,,,
2005-09-01,,,,,,4.5499,4.2109,105.8452,,,,,,,733387000000.0,0.553263798954545,81.76999999999998,,,
2005-10-01,515935.0,357003.0,5.143533000000001,2.2,,4.4246,4.3482,104.792,16.1342523890061,19.9736104410298,-2.05,294681000000.0,79646000000.0,,735569000000.0,0.566506388952381,80.25924999999998,103284.0,,38914000.0
2005-11-01,,,,,,4.5458,4.3129,106.1611,,,,,,,745293000000.0,0.5762612045909089,82.76516999999998,,,
2005-12-01,,,,,,4.6381,4.2186,109.742,,,,,,,755721000000.0,0.572976295409091,84.18204,,,
2006-01-01,518495.0,361213.0,5.232937000000001,2.1,2.45566166439291,4.4829,4.0752,108.2675,17.8779764530093,20.9393902890566,-2.39,293043000000.0,80595000000.0,58.7,753217000000.0,0.566170651681818,86.53723999999998,104255.0,60846820.0,39012000.0
2006-02-01,,,,,,4.4255,4.1543,108.1622,,,,,,,765354000000.0,0.5721712741,88.05025,,,
2006-03-01,,,,,,4.5402,4.3177,109.426,,,,,,,771396000000.0,0.573263699347826,90.05289,,,
2006-04-01,520318.0,367042.0,5.472378,2.4,,4.4928,4.5177,109.6367,18.7092710602177,21.1582246246045,-1.95,292786000000.0,80940000000.0,,785189000000.0,0.56552802115,91.76788,103733.0,,39109000.0
2006-05-01,,,,,,4.5093,4.6488,110.5845,,,,,,,780068000000.0,0.5348311754782609,88.72609,,,
2006-06-01,,,,,,4.5712,4.6645,111.2164,,,,,,,783624000000.0,0.5425667823636359,85.94738000000001,,,
2006-07-01,521780.0,370883.0,5.486284,2.5,,4.5459,4.656000000000001,110.0579,14.8217425538308,20.1544443885194,-3.04,294645000000.0,83735000000.0,,791642000000.0,0.5420894470952379,88.45876,104920.0,,39206000.0
2006-08-01,,,,,,4.8026,4.6535,111.0058,,,,,,,798859000000.0,0.528165884521739,89.12746,,,
2006-09-01,,,,,,4.7892,4.5522,111.3217,,,,,,,800827000000.0,0.5303167814761899,89.40541,,,
2006-10-01,524569.0,372900.0,5.499126,2.7,,4.8255,4.6155,110.1632,14.5595140752149,19.902956207572,-3.15,295022000000.0,83427000000.0,,812433000000.0,0.5329114395,92.51802,105024.0,,39304000.0
2006-11-01,,,,,,4.9968,4.5452,110.9005,,,,,,,816851000000.0,0.522971517,93.52457,,,
2006-12-01,,,,,,5.0844,4.6195,110.1632,,,,,,,836322000000.0,0.509598361047619,93.60903,,,
