Country,Observations,Features,Start Date,End Date,Missing Values,Missing %
Brazil,96,43,2000-03-31,2023-12-31,3936,95.34883720930233
Canada,103,70,2000-03-31,2025-09-30,132,1.8307905686546464
China,96,44,2000-03-31,2023-12-31,4032,95.45454545454545
France,103,70,2000-03-31,2025-09-30,334,4.632454923717059
Germany,103,70,2000-03-31,2025-09-30,334,4.632454923717059
India,96,34,2000-03-31,2023-12-31,3072,94.11764705882352
Italy,103,70,2000-03-31,2025-09-30,334,4.632454923717059
Japan,103,70,2000-03-31,2025-09-30,132,1.8307905686546464
Russia,96,40,2000-03-31,2023-12-31,3648,95.0
South Africa,96,41,2000-03-31,2023-12-31,3744,95.1219512195122
Uk,103,70,2000-03-31,2025-09-30,132,1.8307905686546464
Usa,180,78,1980-03-31,2024-12-31,109,0.7763532763532763
