,gdp_real,gdp_nominal,unemployment_rate,cpi_all_items,cpi_annual_growth,interest_rate_short_term,interest_rate_long_term,industrial_production_index,exports_volume,imports_volume,trade_balance,household_consumption,capital_formation,employment_level,money_supply_broad,exchange_rate_usd,stock_market_index,government_spending,population_total,population_working_age,country,gdp_growth_qoq,gdp_growth_yoy,ip_growth,employment_growth,consumption_growth,investment_growth,exports_growth,imports_growth,m2_growth,gdp_real_lag1,gdp_real_lag2,gdp_real_lag4,unemployment_rate_lag1,unemployment_rate_lag2,unemployment_rate_lag4,cpi_annual_growth_lag1,cpi_annual_growth_lag2,cpi_annual_growth_lag4,industrial_production_index_lag1,industrial_production_index_lag2,industrial_production_index_lag4,interest_rate_short_term_lag1,interest_rate_short_term_lag2,interest_rate_short_term_lag4,trade_gdp_ratio,gov_gdp_ratio,gdp_growth_yoy_ma4,unemployment_rate_ma4,cpi_annual_growth_ma4,gdp_real_diff,employment_level_diff,industrial_production_index_diff,gdp_constant,gdp_current,unemployment,inflation,exports,imports,gross_capital_formation,government_expenditure,population,urban_population,gni_per_capita,interest_rate,exchange_rate,fdi_inflows,external_debt,manufacturing_value_added,services_value_added,gdp_constant_lag1,gdp_constant_lag2,gdp_constant_lag4,unemployment_lag1,unemployment_lag2,unemployment_lag4,inflation_lag1,inflation_lag2,inflation_lag4,interest_rate_lag1,interest_rate_lag2,interest_rate_lag4,unemployment_ma4,inflation_ma4,gdp_constant_diff,gdp_growth
2000-03-31,-1.547610182199747,-1.3723333038941417,-0.8610277170252547,-1.5113190640021423,0.519127093979765,1.9952399518407362,2.1503669449429887,-1.0914918006719612,-1.4413522445510307,-1.5684070116398297,1.198088399873845,-1.3792916890853233,-1.1103912571124368,-0.9745805849436862,-1.262347258256577,-0.3899840893385368,-0.5682241499520196,-1.315130840764852,-1.8513184867341257,-2.3349904186135344,USA,,,,,,,,,,,,,,,,,,,,,,,,,0.8188886090299102,-1.3772144009054865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,-1.4584892371234925,-1.329574668770628,-0.8610277170252547,-1.4825158741802176,0.618159848219088,1.9952399518407362,2.1503669449429887,-0.9091076974441993,-1.3829666985374833,-1.511008576464834,1.2069531801428421,-1.3640363576979158,-0.9940080880734519,-0.9251281245067031,-1.251363491915719,-0.3899840893385368,-0.5682241499520196,-1.2906099316522395,-1.8106853773388139,-2.2564765680174266,USA,1.030755028249374,,,,,,,,,-1.5502120347473498,,,-0.8656820279623367,,,0.5191011360334047,,,-1.0824564989380092,,,2.0066530323853846,,,0.8901817343710611,-1.3675508885315624,,,,0.6386131157669601,0.12164299825213165,0.5234173274426454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-30,-1.4534105339498289,-1.3173073404984617,-0.9147128984225129,-1.448912152721305,0.563470746627317,2.171514154522717,1.9700641640854581,-0.9128990953236636,-1.3373013968032368,-1.4330188410165923,1.0361895181190017,-1.328246946148319,-1.008718743557802,-0.8953270784791763,-1.2368663398955564,-0.3899840893385368,-0.5682241499520196,-1.2848343097217536,-1.765008548646176,-2.195599480777716,USA,-0.34345521779425103,,,,,,,,,-1.4598411301814949,-1.5538766338282992,,-0.8656820279623367,-0.8704504111346235,,0.6176805598071525,0.5190885062557568,,-0.899534907509526,-1.073367875050254,,2.0066530323853846,2.0186829442649747,,0.5989786369822229,-1.3582669903599183,,,,-0.33269636055676577,0.0031109447520557766,-0.08726624852703924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,-1.423633269361839,-1.2968320733977021,-0.9147128984225129,-1.4249094945363674,0.39579026595339395,2.0002763576316496,1.4369950728544987,-1.039345192141343,-1.354367075110786,-1.4260242847624378,1.0311155978334572,-1.312183385283433,-1.0019684155875541,-0.8545126023979982,-1.22401941448234,-0.3899840893385368,-0.5682241499520196,-1.2731469576424042,-1.7217119020938494,-2.145445635299169,USA,0.052262904413887805,,,,,,,,,-1.4546911960169415,-1.462139407181347,,-0.9192347299924393,-0.8704504111346235,,0.563241802014026,0.6172125336766826,,-0.903337478685283,-0.8898644108473209,,2.1830314441898735,2.0186829442649747,,0.6101709960367119,-1.3482360443264292,,-0.9625518008760965,0.5612774437230543,-0.047245303919032054,0.06954099671363677,-0.48959206321054255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,-1.4400798195934086,-1.2908264896071964,-0.6999721728334805,-1.3889055072589611,0.16355486105879688,1.1994878368763668,1.288049297363495,-1.294857618866173,-1.3779848193393727,-1.4570374862319286,1.0665747189094459,-1.3009439441122472,-1.0911549615201745,-0.8507334842423335,-1.1978996987250823,-0.3899840893385368,-0.5682241499520196,-1.247761326955161,-1.6846490659090043,-2.085352902211268,USA,-0.6869219287324636,0.03484788034704844,-0.4073160879710778,0.03999023009323407,0.0017584474312126541,-0.379416036591267,-0.07996702225017027,0.13220273386576703,0.2847106333901597,-1.4244962925179836,-1.4569116109128453,-1.5631390469825144,-0.9192347299924393,-0.9238715555002864,-0.8830321059933859,0.3963288923417947,0.5630252605321988,0.5191049199488094,-1.0301562137091655,-0.8936790779851939,-1.0550086581677565,2.011692415579798,2.1951965650895557,2.0564040283471234,0.6601408896640371,-1.290343376988932,,-0.9200305593444653,0.46820244306408987,-0.5814722396796222,-0.15384633488266009,-0.9129489894238725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,-1.4088495325270332,-1.2684025901923541,-0.5926018100389642,-1.3505012541630612,-0.09862899117617417,0.8721214604669746,1.6721726131034513,-1.5484247210245772,-1.4339790056103738,-1.5528843200837599,1.2800876173620688,-1.2825062091572679,-1.0895738706481133,-0.8995380958526312,-1.179197130513024,-0.3899840893385368,-0.5682241499520196,-1.235624528163211,-1.644299311530396,-2.0004185526296356,USA,0.0742138651644307,-0.5375030709459545,-0.9841386490319607,-0.2612026345760706,0.05004387258405829,-1.0678849882034438,-0.8015786343088958,-0.6604615770607645,0.456860403376312,-1.4411735126724938,-1.426260189206114,-1.4684213844979939,-0.7050239218720292,-0.9238715555002864,-0.8830321059933859,0.16515656385088398,0.39688341978483876,0.6163118443939624,-1.28642163870562,-1.0209012228450849,-0.8702301149738929,1.210430487667977,2.0237261905742483,2.0564040283471234,1.0452957160834333,-1.28051463139406,,-0.8491618234584136,0.28057496396934023,-0.030452147636945457,-0.4710172692482477,-0.9065680329844846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,-1.4290099108985783,-1.2685732478927831,-0.3241759030526737,-1.340900190889086,-0.3495442891209535,0.24257073660275838,1.0293540030896469,-1.7680081940225632,-1.5192871925395512,-1.6178565810805874,1.217917513633444,-1.298342455481613,-1.1157306939927336,-0.9574125910365239,-1.148144479307045,-0.3899840893385368,-0.5682241499520196,-1.215861614854744,-1.6000392579212768,-1.9295465524840123,USA,-0.7451402686747312,-0.7791079500022806,-1.2712295285721689,-0.528390411353904,-0.9692680284910378,-1.1406728784800422,-1.5790365993851234,-1.3439314897202264,0.8341848570035761,-1.4095052074315115,-1.4431895530595051,-1.4630237432067066,-0.5979185178118241,-0.7101869780376351,-0.9362588754926858,-0.09582712053343095,0.16677901227822758,0.5626310252827669,-1.5407360062401687,-1.2779818270266412,-0.8740712884338454,0.882870580031069,1.2218500273997273,2.234008324441261,0.9269821332160532,-1.2319997555264979,,-0.6932506045091,0.04158308781571856,-0.6243944224312055,-0.5257243708636674,-0.7950966306963858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,-1.415238459318673,-1.257699043705752,0.05162036672813308,-1.357702051618542,-0.5435678650452569,-0.08983204559754773,1.39779881614634,-1.931395607351655,-1.5847818743960576,-1.675199317258691,1.3770753120156365,-1.2580067531211996,-1.203916502408685,-1.0416329385056216,-1.1329907855185273,-0.3899840893385368,-0.5682241499520196,-1.2114013195793056,-1.5588394384925577,-1.8485115635428035,USA,-0.2053089944115192,-0.9324954132398636,-1.3285280401281154,-0.9075736833053879,-0.5148883054877789,-1.7040366800860818,-1.8844830127071392,-1.6509909669646532,0.85805853099703,-1.4299483437589768,-1.4110424531784829,-1.431376492444899,-0.33015500766131156,-0.6033446893063094,-0.9362588754926858,-0.3455938333488666,-0.09299903493085435,0.39804200682118757,-1.7609665944401984,-1.5331051674411227,-1.0021774399515757,0.25294768072932255,0.8940390172969354,2.0614784368069556,1.207496378914321,-1.2295870456900477,-0.737283001364536,-0.4381231553193137,-0.20430438754610486,-0.23223082428434347,-0.6846354755560768,-0.6107651237585268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-31,-1.373205879199567,-1.2362736659789302,0.05162036672813308,-1.331299127615111,-0.6371901119344937,-0.06465001664297906,1.6721726131034513,-1.6783644619615523,-1.5622147698129585,-1.6345600913707685,1.1628625624891455,-1.2386345028328858,-1.1457249178891924,-1.069814362466435,-1.1220779966661405,-0.3899840893385368,-0.5682241499520196,-1.1847212128577027,-1.5237034164212977,-1.8076355071742292,USA,0.24354147418722458,-0.37504231935233034,-0.654964129979335,-1.0044601511364628,-0.36839272848345084,-0.8418028960265933,-1.620937324961743,-1.3196346485273207,0.4356616710344211,-1.4159837416623984,-1.4317946702737605,-1.4488558716473485,0.0447139065494061,-0.3362389674779952,-0.7233517974954862,-0.5387292506161487,-0.3416119283616935,0.17008823909577378,-1.9248355124906806,-1.7540363081695551,-1.2610443759541226,-0.07965161010199949,0.26363322863772026,1.2546474916935872,0.8668781842583958,-1.196622483551659,-0.8709471325831136,-0.23969069483836902,-0.4139083216800122,0.09439423164342318,-0.34662374057509115,0.7551502250730989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-30,-1.342155765510152,-1.2181700184926023,0.10530554812539099,-1.3048962036116798,-0.6092097417294599,-0.10997766876120267,1.233174537972073,-1.3712612337250818,-1.511707577954245,-1.5400302293565624,0.9545985470905343,-1.218656080436463,-1.1265444255041794,-1.0751051278843655,-1.112975133769759,-0.3899840893385368,-0.5682241499520196,-1.1622969494920172,-1.485507160169638,-1.7412679408718534,USA,0.06478552853353078,-0.3807028548806287,0.10967603680879576,-0.874167695610688,-0.35180928460924393,-0.7316497114616256,-0.9826577101823977,-0.3824361852336234,0.17771353442167093,-1.3733616365741919,-1.4176189366820402,-1.4156643498662833,0.0447139065494061,0.037709043081644696,-0.6168982584968862,-0.6319229340760789,-0.5338551395147855,-0.0872618276645044,-1.6710586811956376,-1.9184264925246193,-1.5179404480871659,-0.054454694129929614,-0.06922102777434527,0.9248109418044743,0.5345314400891273,-1.1673159025788773,-0.8198149887293976,-0.05543198153463439,-0.5475585319447838,-0.03253448271584002,-0.20855343649807973,0.9325147693679519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-30,-1.3214287753640943,-1.2013515279748108,0.05162036672813308,-1.2760930137897544,-0.4913866248042456,-0.1754509440430811,0.26894662295136634,-1.378466874721128,-1.4952465947173823,-1.5020385624542416,0.8755153757434279,-1.2012286323283319,-1.1266234800477826,-1.0934608446404508,-1.0936337681614636,-0.3899840893385368,-0.5682241499520196,-1.1517204721481946,-1.4427772236507186,-1.6759536501447647,USA,-0.10001781684722459,0.01055302550297698,0.40881385143444277,-0.7554597353192456,0.2837719333960819,-0.5698496322351987,-0.3239025180386222,0.17304375746320158,-0.13374611082424365,-1.34187603171908,-1.374352425923617,-1.4370907823678953,0.09826660857950842,0.037709043081644696,-0.35076441100038647,-0.6040706462852871,-0.6266183065248415,-0.3335510942490582,-1.3630504159594545,-1.6638423982500472,-1.7404067350713313,-0.0998091428796554,-0.04400479622797665,0.29050988432541097,0.41556847042201456,-1.1564964794349706,-0.562308592319977,0.04378424870583795,-0.5846873464721144,-0.15184291019146065,-0.28735771382505326,-0.09846547819616314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
