date,gdp_real,gdp_nominal,unemployment_rate,cpi_all_items,cpi_annual_growth,interest_rate_short_term,interest_rate_long_term,industrial_production_index,exports_volume,imports_volume,trade_balance,household_consumption,capital_formation,employment_level,money_supply_broad,exchange_rate_usd,stock_market_index,government_spending,population_total,population_working_age,country,gdp_growth_qoq,gdp_growth_yoy,ip_growth,employment_growth,consumption_growth,investment_growth,exports_growth,imports_growth,m2_growth,gdp_real_lag1,gdp_real_lag2,gdp_real_lag4,unemployment_rate_lag1,unemployment_rate_lag2,unemployment_rate_lag4,cpi_annual_growth_lag1,cpi_annual_growth_lag2,cpi_annual_growth_lag4,industrial_production_index_lag1,industrial_production_index_lag2,industrial_production_index_lag4,interest_rate_short_term_lag1,interest_rate_short_term_lag2,interest_rate_short_term_lag4,gdp_growth_yoy_lag1,gdp_growth_yoy_lag4,trade_gdp_ratio,gov_gdp_ratio,gdp_growth_yoy_ma4,unemployment_rate_ma4,cpi_annual_growth_ma4,gdp_real_diff,employment_level_diff,industrial_production_index_diff,gdp_volatility_4q,stock_volatility_4q,gdp_momentum,inflation_momentum,high_inflation_regime,high_volatility_regime,inflation_x_volatility,unemployment_x_inflation,stock_returns_1q,stock_volatility_4q_v6,risk_adjusted_returns,unemployment_momentum_v6,unemployment_vs_5y_avg,inflation_acceleration_v6,inflation_z_score
2000-03-31,378669.0,378669.0,6.866667,2.65358,2.71943995691976,5.0804347826087,6.02826086956522,18891444444.4444,36.8558047744882,32.2436057963648,2.03,189204500000.0,79528250000.0,18.27,225082000000.0,1.46035444669565,66.82956,318113000000.0,30685730.0,20440100.0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005360882459351042,84008197.1325881,,,,,,,,,,,1,0,,18.673488610662336,,,,,0.0,,
2000-06-30,383125.8,383125.8,6.666667,2.445164,2.791886496005625,5.74772727272727,5.895454545454551,19263083333.333298,37.358710916751,32.6354679802956,2.2,190842750000.0,80404750000.0,18.3233333333333,230062000000.0,1.47670108727273,69.41068,321619000000.0,30763636.246465836,20511100.0,Canada,1.1769645785633331,,,,,,,,,378669.0,,,6.866667,,,2.71943995691976,,,18891444444.4444,,,5.0804347826087,,,,,0.0005742239233170934,83946056.3606001,,,,4456.799999999988,0.05333333333329904,371638888.88889694,,,,,1,0,,18.612577570666332,3.8622429954648707,,,-0.1999999999999993,-0.09999999999999964,0.07244653908586507,
2000-09-30,387053.0,387053.0,6.9,2.714286,2.7615524224864534,5.7525,5.7295,19696388888.8889,37.0477317948096,31.9238559131656,2.7,193285750000.0,80780750000.0,18.2966666666667,235280000000.0,1.48519488555,75.42291999999999,323123000000.0,30847238.338707004,20578300.0,Canada,1.0250419052958648,,,,,,,,,383125.8,378669.0,,6.666667,6.866667,,2.791886496005625,2.71943995691976,,19263083333.333298,18891444444.4444,,5.74772727272727,5.0804347826087,,,,0.0006975788845455273,83482882.1892609,,,,3927.2000000000116,-0.02666666666659978,433305555.555603,,0.033938255060655946,,,1,0,,19.05471171515653,8.661837054470567,3.393825506065594,2.5447359269842806,0.233333,0.08888866666666662,-0.0303340735191715,
2000-12-31,387818.5,387818.5,6.9,3.060498,2.6604181738419164,5.75,5.40210526315789,19791250000.0,38.1422215945202,32.3052044347151,3.05,193721500000.0,81273750000.0,18.27,241495000000.0,1.5224434587,62.87749,325095000000.0,30934145.149525523,20642600.0,Canada,0.1977765318961433,,,,,,,,,387053.0,383125.8,,6.9,6.666667,,2.7615524224864534,2.791886496005625,,19696388888.8889,19263083333.333298,,5.7525,5.74772727272727,,,,0.000786450362734114,83826583.82722846,,6.8333335,2.7333242623134386,765.5,-0.026666666666699257,94861111.11109924,,0.13434784665206864,,,1,0,,18.356885399509224,-16.633445111910262,13.434784665206864,-1.237167089403461,0.0,0.06666650000000018,-0.10113424864453702,
2001-03-31,390001.5,390001.5,7.0,2.76204,2.52512013979906,5.0619,5.30136363636364,19108472222.2222,37.6486446060783,30.57565543462,3.64,195233750000.0,82314750000.0,18.2366666666667,246074000000.0,1.55839912240909,54.83681,329259000000.0,31020855.0,20704700.0,Canada,0.5628921776552609,2.992719235004704,1.1488151603019414,-0.18244845831034695,3.1866313961877335,3.5037863903707223,2.1511939203099573,-5.172964749286335,9.326378830826098,387818.5,387053.0,378669.0,6.9,6.9,6.866667,2.6604181738419164,2.7615524224864534,2.71943995691976,19791250000.0,19696388888.8889,18891444444.4444,5.75,5.7525,5.0804347826087,,,0.0009333297436035503,84425059.90361576,,6.86666675,2.684744308033264,2183.0,-0.033333333333299464,-682777777.7778015,,0.12366163527878515,,-0.19431981712069968,1,0,,17.67584097859342,-12.787851423458541,12.366163527878518,-1.0332645811161638,0.09999999999999964,0.13333320000000004,-0.13529803404285623,-1.4436980011407712
2001-06-30,391228.0,391228.0,7.1,3.580204,2.3839608882674908,4.492319047619048,5.71809523809524,18879444444.4444,36.1893378207241,30.7064517807886,2.46,195586250000.0,83349000000.0,18.4966666666667,250389000000.0,1.5244648591428602,55.11724,333396000000.0,31108721.755740885,20786800.0,Canada,0.3144859699257596,2.114762305227158,-1.9915757111689358,0.9459705293800358,2.485554206277163,3.6617861506938354,-3.1301216432030987,-5.910796807545971,8.835444358477273,390001.5,387818.5,383125.8,7.0,6.9,6.666667,2.52512013979906,2.6604181738419164,2.791886496005625,19108472222.2222,19791250000.0,19263083333.333298,5.0619,5.75,5.74772727272727,2.992719235004704,,0.0006287893504554889,85217826.94490169,,6.975,2.58276290609873,1226.5,0.26000000000000156,-229027777.7777977,0.6208092986354242,0.11733051642587852,,-0.40792560773813413,0,0,1.4799850870196238,16.926122306699185,0.5113900680947747,11.733051642587855,0.043548311261797194,0.09999999999999964,0.19444433333333233,-0.14115925153156939,-1.5350758471519785
2001-09-30,390953.0,390953.0,7.166667,2.7121,2.269716121770178,3.72707894736842,5.30263157894737,18477444444.4444,33.8856203525804,29.6479464420568,1.35,196123500000.0,83588250000.0,18.3533333333333,259557000000.00003,1.56669978435,48.65707,334353000000.0,31196210.1492065,20859700.0,Canada,-0.07029149242896437,1.007613944343544,-6.188669665900681,0.30971032975004587,1.4681630694451053,3.475456714625702,-8.535236272338299,-7.129181002756624,10.318344100646048,391228.0,390001.5,387053.0,7.1,7.0,6.9,2.3839608882674908,2.52512013979906,2.7615524224864534,18879444444.4444,19108472222.2222,19696388888.8889,4.492319047619048,5.0619,5.7525,2.114762305227158,,0.000345310050057168,85522556.4198254,,7.041666750000001,2.4598038309196615,-275.0,-0.14333333333340192,-402000000.0,0.9947553198787643,0.0741902218892698,,-0.4918363007162756,0,0,2.2578121867454817,16.266299629258317,-11.720779197216702,7.419022188926981,-1.5777014658384816,0.0666670000000007,0.22380971428571517,-0.11424476649731297,-1.509691451538363
2001-12-31,393297.8,393297.8,7.633333,1.070442,2.2174351374132115,2.2413052631578902,5.40842105263158,18216638888.8889,33.4606857038283,28.9649335200918,1.05,198551500000.0,83701500000.0,18.4566666666667,269505000000.0,1.577009054,52.62984,334806000000.0,31280785.80653823,20920500.0,Canada,0.5997651891659572,1.412851630337375,-7.956097321347055,1.0217113665391242,2.493269977777368,2.98712683984681,-12.273894112566552,-10.339730000389203,11.598583821611207,390953.0,391228.0,387818.5,7.166667,7.1,6.9,2.269716121770178,2.3839608882674908,2.6604181738419164,18477444444.4444,18879444444.4444,19791250000.0,3.72707894736842,4.492319047619048,5.75,1.007613944343544,,0.00026697327063614397,85127859.8558141,1.8819867787281952,7.225,2.349058071812485,2344.7999999999884,0.10333333333339922,-260805555.55550003,0.8703498676065929,0.10085726198397839,,-0.44298303642870485,0,0,1.929944378273796,16.926420809775802,8.164836065961234,10.085726198397838,0.8087418285231398,0.466666,0.6041662500000005,-0.052280984356966265,-1.365717902517678
2002-03-31,399048.5,399048.5,7.933333,1.550655,2.25839440940855,1.993885,5.667000000000001,18914916666.666702,33.3842090727059,29.0474349237036,2.37,201565500000.0,84283500000.0,18.4666666666667,274278000000.00003,1.5861408127619,54.83158,337134000000.0,31359199.0,20993400.0,Canada,1.4621744642355106,2.319734667687179,-1.012930564539849,1.261195393895087,3.243163643581082,2.3917341667198055,-11.326929768632132,-4.998161083363184,11.46159285418209,393297.8,390953.0,390001.5,7.633333,7.166667,7.0,2.2174351374132115,2.269716121770178,2.52512013979906,18216638888.8889,18477444444.4444,19108472222.2222,2.2413052631578902,3.72707894736842,5.0619,1.412851630337375,2.992719235004704,0.0005939127700016415,84484467.42689171,1.713740636898814,7.45833325,2.2823766392148572,5750.700000000012,0.010000000000001563,698277777.7778015,0.6102448262865632,0.08592238165121653,-0.672984567317525,-0.26672573039050995,0,0,1.378173504056066,17.916594895176363,4.183444220997057,8.592238165121653,0.48632043669275626,0.2999999999999998,0.803703333333333,0.040959271995338664,-1.0371388715161076
2002-06-30,401406.3,401406.3,7.7,1.355473,2.405252826337454,2.48379,5.424,19158583333.333298,33.1752638520202,29.2211769705842,1.77,204148750000.0,84628250000.0,18.5133333333333,277003000000.0,1.53095145545,50.9911,338513000000.0,31433240.413664836,21074800.0,Canada,0.5908554975147196,2.601628717780935,1.4785333843392756,0.09010632546366804,4.37786398583746,1.5348114554463832,-8.328624258435212,-4.837012171929478,10.629061180802669,399048.5,393297.8,391228.0,7.933333,7.633333,7.1,2.25839440940855,2.2174351374132115,2.3839608882674908,18914916666.666702,18216638888.8889,18879444444.4444,1.993885,2.2413052631578902,4.492319047619048,2.319734667687179,2.114762305227158,0.0004409497309832955,84331760.61262617,1.8354572400372582,7.608333250000001,2.2876996237323484,2357.7999999999884,0.046666666666599355,243666666.66659546,0.7495472819896007,0.093172778988822,0.48686641255377694,0.021291938069963212,0,0,1.8028507184790439,18.520446762798397,-7.004138855747,9.3172778988822,-0.7509306500438236,-0.233333,0.5133332999999993,0.14685841692890378,-0.40621740746325163
