,mean,std
bond_corporate,172.51414071428567,60.70687739000198
bond_gov_10y,3.3514214285714288,2.413002270577236
bond_gov_2y,2.4804214285714283,2.5259741964763083
bond_gov_5y,2.8442642857142864,2.4827963539940123
capital_formation,138967666214.2857,20413034656.104347
consumer_confidence,100.07789535714285,0.7957193389499887
cpi_all_items,20.476105099285714,31.765347282031275
cpi_annual_growth,1.8121278990430167,1.2875517118524433
credit_spread,169.57747642857143,62.4032145690983
credit_spread_change,2.3295335714285685,4.407351956969835
employment_level,38548035.71428572,2520864.9801811683
exchange_rate_usd,0.9027138087779409,0.1265832308179106
exports_volume,32.33923487624905,7.268038924954704
gdp_nominal,678192.75,195712.9443099312
gdp_real,651245.1467602804,83003.0329817665
government_spending,130336.80080644295,20799.687519304483
household_consumption,383441927285.7143,24967145423.995296
imports_volume,27.37481808191831,5.739703498664424
industrial_production_index,90.25612192857142,8.340750041377458
interest_rate_long_term,3.3281664818149714,2.4332737868123764
interest_rate_short_term,2.4360419726960325,2.590109380573096
population_total,82329672.33300357,833081.5070459254
population_working_age,29.580168054664032,4.2997064326837
stock_market_index,89.23552914285715,24.973648661772234
trade_balance,3.810571428571428,3.7292192118609835
unemployment_rate,6.577923664285714,2.4749243143986135
yield_curve_curvature,0.14331428571428573,0.23433005947352856
yield_curve_slope,0.871,0.7726073020399611
gdp_growth_qoq,0.29089259802096973,1.3337907542695113
gdp_growth_yoy,1.1896632510909488,2.4002806867089337
ip_growth,0.48210257866052403,4.77894771286661
employment_growth,0.5096403700270445,1.1770006628571188
consumption_growth,0.4847380616596814,2.0580398457804487
investment_growth,1.0987129340319657,1.577853634194258
exports_growth,1.8250660098548535,6.958927918258215
imports_growth,1.6253790819872436,8.516430184985031
gdp_real_lag1,650420.9296078867,82726.24429483071
gdp_real_lag2,649584.7672793716,82435.98341330767
gdp_real_lag4,647871.2522491771,81806.31444636817
unemployment_rate_lag1,6.599677086330935,2.470406155430424
unemployment_rate_lag2,6.621745775362319,2.4656160368619595
unemployment_rate_lag4,6.666856772058825,2.4551721603137353
cpi_annual_growth_lag1,1.8089309908103224,1.2916505634195918
cpi_annual_growth_lag2,1.8056877505742552,1.2957878831935377
cpi_annual_growth_lag4,1.7990581859740595,1.3041802796986157
industrial_production_index_lag1,90.24767381294963,8.370314432796008
industrial_production_index_lag2,90.23910326086957,8.400195335556516
industrial_production_index_lag4,90.22158404411763,8.460929563031735
interest_rate_short_term_lag1,2.43972328527795,2.599109288246498
interest_rate_short_term_lag2,2.443457950216127,2.6082034949312995
interest_rate_short_term_lag4,2.4457489739938154,2.6272114635862316
gdp_growth_yoy_lag1,1.1967741629283948,2.4077820365947984
gdp_growth_yoy_lag4,1.2156970884547196,2.431828313591097
trade_gdp_ratio,0.0005271465738636504,0.00055031993221834
gov_gdp_ratio,19.982721513156566,1.321033214253455
gdp_growth_yoy_ma4,1.1892480223804565,1.9115804166331063
unemployment_rate_ma4,6.624717881386861,2.4671214876851493
cpi_annual_growth_ma4,1.8113339859134667,1.2532329322329905
gdp_real_diff,1784.5297190142805,9237.092654894837
employment_level_diff,48294.89208633093,232350.0787647403
industrial_production_index_diff,0.07648517985611519,1.9431348618973427
gdp_volatility_4q,1.1373774684754039,1.2700258060817804
stock_volatility_4q,0.06414337750356891,0.05888893810873875
gdp_momentum,-0.03839037222669012,3.717224153841601
inflation_momentum,0.024006757535005002,1.162845946324293
high_inflation_regime,0.11428571428571428,0.3193003656989095
high_volatility_regime,0.24285714285714285,0.430349173462308
inflation_x_volatility,2.4940223669890464,5.374540121064801
unemployment_x_inflation,10.89733369261968,5.406147367259716
stock_returns_1q,0.7210697878003515,8.80102749488116
stock_volatility_4q_v6,6.414337750356894,5.888893810873874
risk_adjusted_returns,0.210292468443255,1.148052647355112
unemployment_momentum_v6,-0.012080107913669062,0.2310162478542627
unemployment_vs_5y_avg,-0.1750063474252648,1.0871680860822848
inflation_acceleration_v6,0.0058721565193537405,0.31908546554797157
inflation_z_score,0.17414078067237493,1.2005878692246847
financial_conditions_index,-0.0032379607191382474,0.5760030584805773
