Country,Observations,Features,Start Date,End Date,Missing Values,Missing %
Italy,103,53,2000-03-31,2025-09-30,286,5.239054771936252
Japan,103,53,2000-03-31,2025-09-30,84,1.5387433595896685
South Africa,96,36,2000-03-31,2023-12-31,3360,97.22222222222221
China,96,39,2000-03-31,2023-12-31,3648,97.43589743589743
Uk,103,53,2000-03-31,2025-09-30,84,1.5387433595896685
Russia,96,35,2000-03-31,2023-12-31,3264,97.14285714285714
Usa,104,53,2000-03-31,2025-12-31,84,1.5239477503628447
Canada,103,53,2000-03-31,2025-09-30,84,1.5387433595896685
France,103,53,2000-03-31,2025-09-30,286,5.239054771936252
Germany,103,53,2000-03-31,2025-09-30,286,5.239054771936252
India,96,29,2000-03-31,2023-12-31,2688,96.55172413793103
Brazil,96,38,2000-03-31,2023-12-31,3552,97.36842105263158
