,mean,std
gdp_real,550964.2524271845,57982.43487770604
gdp_nominal,458976.93203883496,126672.20575109709
unemployment_rate,5.41468554368932,1.3361904293207492
cpi_all_items,2.49126213592233,1.7515878956253594
cpi_annual_growth,2.523028529962631,1.6273768661684183
interest_rate_short_term,2.409955339805825,2.187986599581153
interest_rate_long_term,3.1895475728155347,1.5689692584901682
industrial_production_index,101.41975864077672,5.313827123817977
exports_volume,15.195191435601336,1.332891832623234
imports_volume,21.074366799912553,1.6755983621170558
trade_balance,-3.0657281553398046,1.2767211389150124
household_consumption,311957650485.4369,31614750155.369648
capital_formation,87217601941.74757,12686460840.349512
employment_level,58.58132214797832,0.9775833614812052
money_supply_broad,1325695038834.9514,625311778693.5886
exchange_rate_usd,0.672201025503555,0.09454956110864388
stock_market_index,94.35499097087379,17.95379668160358
government_spending,112142.60194174758,14158.310629768506
population_total,63944817.63588655,3216201.1969655044
population_working_age,40354844.66019417,1624293.890371948
gdp_growth_qoq,0.409167621460871,2.7921341917584916
gdp_growth_yoy,1.576254521184113,4.430825397780854
ip_growth,0.13497786849519228,3.6913870634002754
employment_growth,0.08053596051735991,0.8003260517143669
consumption_growth,1.4841069144359922,5.253861362670186
investment_growth,1.9764120351369228,6.080048957041386
exports_growth,-0.6563778110050503,8.525252939698424
imports_growth,0.3460366714736615,8.259949752560074
m2_growth,6.932269585978801,6.03343803730645
gdp_real_lag1,550022.5490196078,57471.76873713564
gdp_real_lag2,549062.198019802,56929.97077024013
gdp_real_lag4,547131.0808080808,55828.341331350064
unemployment_rate_lag1,5.422092274509805,1.3406623915674187
unemployment_rate_lag2,5.429645673267328,1.3451660562141992
unemployment_rate_lag4,5.4492604040404045,1.3515373117808305
cpi_annual_growth_lag1,2.515689859213646,1.6336996988817651
cpi_annual_growth_lag2,2.5082058682518085,1.6400897202748943
cpi_annual_growth_lag4,2.4927843111183257,1.6530751364000733
industrial_production_index_lag1,101.43109647058827,5.338816273357107
industrial_production_index_lag2,101.44265881188122,5.364160352011168
industrial_production_index_lag4,101.46648424242424,5.4159474045727345
interest_rate_short_term_lag1,2.394198039215686,2.1929105968864104
interest_rate_short_term_lag2,2.376176237623762,2.1962436271574477
interest_rate_short_term_lag4,2.3316999999999997,2.195610247930248
gdp_growth_yoy_lag1,1.5838421743507825,4.452959603031301
gdp_growth_yoy_lag4,1.5960280845009944,4.52266601100306
trade_gdp_ratio,-0.000545914376680438,0.00020218724985935954
gov_gdp_ratio,20.318166299409498,0.7864668593729206
gdp_growth_yoy_ma4,1.567937740414135,3.2098934488356123
unemployment_rate_ma4,5.423319359999999,1.3337189759882502
cpi_annual_growth_ma4,2.5306346805701367,1.579711675063338
gdp_real_diff,1985.078431372549,15628.67484401433
employment_level_diff,0.011892156862745107,0.1262785257912374
industrial_production_index_diff,0.029943529411764775,2.028360030144651
gdp_volatility_4q,1.6248564214928969,3.207027469536847
stock_volatility_4q,0.05537150356579561,0.03512563811816795
gdp_momentum,-0.06181592875836364,7.462703060019999
inflation_momentum,0.0775356496141523,1.4934189237632953
high_inflation_regime,0.34951456310679613,0.47914830206739945
high_volatility_regime,0.24271844660194175,0.430822729056944
inflation_x_volatility,6.041735380531963,15.89102000255686
unemployment_x_inflation,13.254912196061253,7.551258438964629
stock_returns_1q,0.5597593265408791,6.6193638877747585
stock_volatility_4q_v6,5.537150356579572,3.5125638118167877
risk_adjusted_returns,0.2705701969771445,1.1521490664891796
unemployment_momentum_v6,-0.011098186274509803,0.23710740313006637
unemployment_vs_5y_avg,-0.10408659791346143,0.9901420954151327
inflation_acceleration_v6,0.020476634355442353,0.4107477070328874
inflation_z_score,0.3707047212999412,1.2824272736336144
