,mean,std
gdp_real,18267.412586538463,2836.15708724508
gdp_nominal,17882.78816346154,5742.489190562871
unemployment_rate,5.6038461538461535,1.8627114111811005
cpi_all_items,233.96465384615385,41.66205227334087
cpi_annual_growth,2.5728684454619346,1.548732160892943
interest_rate_short_term,1.9183653846153845,1.9855429477190223
interest_rate_long_term,3.286923076923077,1.2756320169112572
industrial_production_index,97.58162980769231,5.037719755940593
exports_volume,2051.633144230769,692.9112213939522
imports_volume,2676.625,807.9140112203137
trade_balance,-51100.028846153844,17146.505089538437
household_consumption,12147.490384615385,3959.2715796300045
capital_formation,3144.550471153846,1075.207016901929
employment_level,140630.0,9261.419875834636
money_supply_broad,11825.771153846154,5635.589658325373
exchange_rate_usd,104.9226471153846,11.186731035064058
stock_market_index,2723.135,1195.294145905891
government_spending,4136.969913461538,1726.5673065205967
population_total,314076.8261826923,17645.708405538033
population_working_age,199209215.3846154,8924539.997465583
gdp_growth_qoq,0.5316496006042716,1.2511587886418594
gdp_growth_yoy,2.124369091833598,2.0987243157610056
ip_growth,0.5471706030237476,4.074854554020241
employment_growth,0.7796629214874082,2.2978396074761513
consumption_growth,4.633909755455279,3.007556129370777
investment_growth,4.372646102906348,8.730081373842768
exports_growth,4.990567502333378,10.259063324214377
imports_growth,4.931405968275441,10.98512925049756
m2_growth,6.366690112761996,4.712786012677592
gdp_real_lag1,18213.979932038834,2796.928958654019
gdp_real_lag2,18159.499578431372,2755.271869867408
gdp_real_lag4,18049.49771,2668.573034530984
unemployment_rate_lag1,5.616504854368932,1.8673194107701419
unemployment_rate_lag2,5.629411764705882,1.8719179678276672
unemployment_rate_lag4,5.659,1.8787538853229717
cpi_annual_growth_lag1,2.5692115837202825,1.5558542097411912
cpi_annual_growth_lag2,2.5654830188072264,1.5630749725987894
cpi_annual_growth_lag4,2.557802175086329,1.5778218717205195
industrial_production_index_lag1,97.52008932038835,5.022917157153793
industrial_production_index_lag2,97.45734215686275,5.006989944254789
industrial_production_index_lag4,97.328966,4.972438813071652
interest_rate_short_term_lag1,1.8980582524271845,1.9843698353966706
interest_rate_short_term_lag2,1.8772549019607845,1.9828498127508871
interest_rate_short_term_lag4,1.8275,1.9706730506929029
trade_gdp_ratio,-277.77318888911094,70.33007540282983
gov_gdp_ratio,21.865319365887526,6.111975740647305
gdp_growth_yoy_ma4,2.14885605893598,1.6089704116179095
unemployment_rate_ma4,5.647772277227722,1.7638243216442397
cpi_annual_growth_ma4,2.554404830668627,1.4791462496545809
gdp_real_diff,96.04688349514561,245.39758522911455
employment_level_diff,271.22330097087377,1535.4496494898192
industrial_production_index_diff,0.11492524271844659,1.535819918704629
