country,horizon,model,version,n_features,use_revin,use_augmentation,use_regime_switching,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_r2,val_r2,test_r2
usa,4,Ridge,v3,15,True,True,False,0.5175972985579445,2.495426326333685,0.5005033006876762,0.38626430669603506,1.623834375145198,0.39467646558035935,0.5322882269887907,-0.34471130817607576,-0.9112990238897374
usa,4,LASSO,v3,15,True,True,False,0.7568440017255341,2.152549592987114,0.3864492540134364,0.4830852744494077,1.4826128067880342,0.3271087988595383,-1.6225424770199837e-05,-0.0005663293280278037,-0.13946159694362947
usa,4,Random Forest,v3,15,True,True,False,0.21128473365524864,2.4696705061622857,0.4652795350190058,0.15434194536509768,1.7567335794569494,0.4063488238363961,0.9220653594827168,-0.3170964600553281,-0.6517436576915754
usa,4,XGBoost,v3,15,True,True,False,0.07828203315928287,2.5109067753415295,0.46697078383572876,0.05795492795261648,1.7562879596756267,0.39343631202045554,0.9893016083322071,-0.3614469683098649,-0.6637733575710338
usa,4,Gradient Boosting,v3,15,True,True,False,0.053740079277245105,2.566370255879317,0.4421941172626089,0.039813040260290505,1.74849307877409,0.36617759496489133,0.9949581385696149,-0.42225732238320535,-0.4919032757031252
usa,4,Regime-Switching,v3,15,True,True,True,0.6070341361009749,2.3616945709521455,0.37012650301494954,0.42431292148876326,1.5485524508452213,0.3165748768628304,0.35668966601834395,-0.20444511487460804,-0.0452378169599823
usa,4,Ensemble,v3,15,True,True,False,,,0.4217562989150972,,,0.35895550847894525,,,-0.35718140669128595
canada,4,Ridge,v3,15,True,True,False,0.5352805377390821,2.757724216695898,0.3343313606027174,0.40658412409787614,2.0340599637240246,0.284473997497569,0.24745841036118987,-0.3125435004278527,-0.3298431116347238
canada,4,LASSO,v3,15,True,True,False,0.6170546676524726,2.4073385418224444,0.3566024370225676,0.4388097363320004,1.8843153910050792,0.2877161322794557,-3.427185681359468e-05,-0.00019891260328686045,-0.5129159107557208
canada,4,Random Forest,v3,15,True,True,False,0.3077551621234339,2.7116336097766918,0.5198091446766545,0.18746617718903016,2.31824920009526,0.39619622839931784,0.7512412918802399,-0.2690363334600083,-2.214652311113839
canada,4,XGBoost,v3,15,True,True,False,0.09294485349750523,2.6289539701741114,0.4254932323593092,0.06517653221786393,2.1549196865365468,0.3802571072047805,0.977310846433505,-0.19282849275838165,-1.1539295293150342
canada,4,Gradient Boosting,v3,15,True,True,False,0.10803932651456621,2.8588842717975362,0.5621395311455263,0.072357866834606,2.469256184344346,0.4467877628064002,0.9693428812112682,-0.4106042591689427,-2.759537583784024
canada,4,Regime-Switching,v3,15,True,True,True,0.566606654862884,2.5299918555270886,0.3014233318713659,0.4138788432638694,1.9622643421618582,0.22667315122735732,0.15679933137133129,-0.104715089776378,-0.08093582030038693
canada,4,Ensemble,v3,15,True,True,False,,,0.38137375975293974,,,0.30228433222838336,,,-0.7304051269258178
japan,4,Ridge,v3,15,True,True,False,0.7936477883451297,1.7376580120906298,0.7804015239393549,0.5524388924431844,1.3222992082108482,0.6785784154980984,0.2582141484816699,-0.07556234072051415,-3.6203296564896226
japan,4,LASSO,v3,15,True,True,False,0.9214963427759423,1.7204429412443718,0.3631553171738403,0.623976593081156,1.1146445975713923,0.2825797159738915,-2.3386995000596045e-05,-0.054356599601325106,-0.0005102914058454644
japan,4,Random Forest,v3,15,True,True,False,0.39507950135285097,1.6314106056679174,0.3774507591661947,0.26323820937234327,1.084914358991624,0.2892944110074688,0.8161803568110113,0.051944993771286474,-0.08082990382298338
japan,4,XGBoost,v3,15,True,True,False,0.2285900296342128,1.6249277377920748,0.3500407777593543,0.131284938998008,1.06507790571385,0.2735475505857736,0.9384628338410801,0.059464748351803265,0.07044728031300129
japan,4,Gradient Boosting,v3,15,True,True,False,0.1807987743744454,1.5578576979437089,0.3537293210058224,0.12147906827097193,1.0378967515609767,0.29435682817236053,0.9615041521621372,0.1355048869419645,0.050753801676882815
japan,4,Regime-Switching,v3,15,True,True,True,0.8434493562229984,1.650145195289333,0.3799227669113214,0.5628880140564843,1.031896745054526,0.2934078316537768,0.16219885991133287,0.030045657557049688,-0.09503344690955617
japan,4,Ensemble,v3,15,True,True,False,,,0.3534277538585245,,,0.28780526499421416,,,0.05237164575679698
uk,4,Ridge,v3,15,True,True,False,0.3119288184326264,3.469995630667083,0.1531083403052307,0.21519210984537318,2.3918013228845587,0.123800295120001,0.48199069245754167,-0.7133109521409096,-1.4137425899333715
