country,horizon,model,version,n_features,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_r2,val_r2,test_r2,train_mape,val_mape,test_mape
usa,1,Ridge,v2,15,0.4171017745229399,1.9461402862066834,0.4221214096545742,0.3004898284487942,1.1998031950475967,0.3593246387870021,0.694923615283506,0.1827637012663682,-0.46011361691191754,1404.5475979125874,76.19057906930817,199.7952246148547
usa,1,LASSO,v2,15,0.7551578510561389,2.1589515930534877,0.3695999828228515,0.48362553821919196,1.5113842794970804,0.31179163727606746,0.0,-0.005738724330416112,-0.11937544632247432,181.23277016755952,101.9536051594373,97.30541814842924
usa,1,Random Forest,v2,15,0.36358962217834595,1.8589629396062926,0.372907254364903,0.24622805664204647,1.1328542248819415,0.3020590820588153,0.7681818296782899,0.25434003539735817,-0.1394979695151921,1493.6849625993184,72.31643047470006,151.01811762087155
usa,1,XGBoost,v2,15,0.5389854254880645,1.9664356222246133,0.3617571553206114,0.342415663433008,1.3257716688274115,0.3013187078675697,0.49057698763231716,0.1656297161641096,-0.07237369295955198,302.5566102540816,89.60185612151773,101.19531910563143
usa,1,Gradient Boosting,v2,15,0.4844687265857647,1.9498755857664714,0.35046835079465066,0.2998301576639252,1.2771541778863478,0.2837454203894468,0.5884183427054244,0.17962358653312016,-0.006490086084359525,1183.5417805944048,75.53264856480645,84.33982122103917
usa,1,Ensemble,v2,15,,,0.36419321866182847,,,0.29813709669934235,,,-0.0868649947614526,,,
canada,1,Ridge,v2,15,0.4342690214282828,2.172808607739084,0.5342193384832638,0.3365553506009549,1.4898483305161296,0.3705148508975952,0.512668855667418,0.12649363435085348,0.22181106092516933,98.94730211285871,132.53303346626944,149.1059044985563
canada,1,LASSO,v2,15,0.6220807557316345,2.3436632067135035,0.6061193521389885,0.44768063261401847,1.6556307244437185,0.4383318736177735,0.0,-0.016280358664006123,-0.0017564418359101719,99.75708272121192,130.59291667647307,162.8309761923436
canada,1,Random Forest,v2,15,0.32337920847940016,1.998054387576218,0.4560841816351303,0.21896126958842022,1.3872401997727686,0.2937875224105751,0.7297718087199101,0.2613516375076699,0.4328004692400612,83.36547612778695,351.80491676040015,203.87108432790808
canada,1,XGBoost,v2,15,0.10940752340189584,1.9286392021442487,0.4658777718817766,0.0812250720950375,1.3250166499677045,0.3053398629027943,0.9690685099572443,0.3117834561423414,0.40817974793042544,33.819236465122806,365.9371030479621,109.39432177348338
canada,1,Gradient Boosting,v2,15,0.18517950398832525,1.9614340121161846,0.47759926113746076,0.12303246211760177,1.3937365854376857,0.31458250123328985,0.9113880487398713,0.28817943353270725,0.3780247037160379,48.90646628015312,389.3876119585878,251.7144968047824
canada,1,Ensemble,v2,15,,,0.46635579727936877,,,0.295992557583394,,,0.40696462126299615,,,
japan,1,Ridge,v2,15,0.5972458882873954,1.5504730972681762,0.3350291714015094,0.42905131132646523,1.0247442864857128,0.26601486045469164,0.5806465443484847,0.13674329758824555,-0.014428848465134259,104.35837947375668,246.15727041698693,204.11839947571377
japan,1,LASSO,v2,15,0.9222805618820527,1.7529925705253786,0.3335430725343265,0.626698377302881,1.2009226587708872,0.26189030545572056,0.0,-0.10349822718373858,-0.005449343589424505,112.73631346504787,148.8285607450742,134.70238021968163
japan,1,Random Forest,v2,15,0.6441758030326177,1.5079650957591142,0.4947640221986863,0.3901100049169451,0.9688850362178862,0.4111891729133304,0.5121540498014099,0.18342878362454995,-1.2123435459187402,125.41895629753246,237.48222372079834,684.6277159517996
japan,1,XGBoost,v2,15,0.10986076131782717,1.5842065423038842,0.4489874967694254,0.07173296216403609,1.0027197920706663,0.4051436355986669,0.9858107612059119,0.0987711336006637,-0.8219012716759471,33.57020096308487,270.46735177110276,619.4785151228729
japan,1,Gradient Boosting,v2,15,0.5434922906235188,1.6096530527124755,0.34830233665799165,0.3700295612183098,1.0621997816914808,0.2873181395065164,0.652735278976098,0.06958641278826938,-0.09640023715846269,77.70082586825532,233.63310651879155,480.4890387876867
japan,1,Ensemble,v2,15,,,0.3845328141506384,,,0.30799566240831766,,,-0.3363590445764908,,,
uk,1,Ridge,v2,15,0.2849668292804188,2.5745723755337857,0.16571899799526785,0.18530305786230528,1.9028096780955626,0.10874831049310144,0.5675791375335794,0.0507741736586893,0.512629547347036,157.93080257277788,127.92718857529823,60.19660949710964
uk,1,LASSO,v2,15,0.43335218520723306,2.6455104600844868,0.2557131662134494,0.2617744458511887,1.994244379725947,0.2121213917750411,0.0,-0.0022551622040154484,-0.16043488998970612,103.9400396755748,102.89308643489181,125.28774042040389
uk,1,Random Forest,v2,15,0.19362380193507214,2.5556224512077077,0.2344591785654252,0.1194726059161849,1.8288298845973088,0.1969536915331063,0.8003655418513209,0.06469614303607485,0.024451025241456592,165.39170709289485,195.86541624035186,137.00351660222464
uk,1,XGBoost,v2,15,0.32437445859168557,2.6052302600995954,0.21817404492012366,0.17727837293206494,1.9351578972645591,0.18343844579318752,0.4397120027490532,0.02803290270480041,0.15526446144717299,77.78610681470208,154.5064672986702,117.3017780845141
uk,1,Gradient Boosting,v2,15,0.04138504280871991,2.6267913171297606,0.26517044776909876,0.024688171402838046,1.822690180829474,0.23088816938397655,0.9908797900546913,0.011878202219401612,-0.2478570661468309,23.962985810076777,202.70670208044095,157.3707458944771
uk,1,Ensemble,v2,15,,,0.17308731338980857,,,0.12024556923180245,,,0.46832642880240316,,,
